shop_type,sentence,TargetAspect,sentiment
coffee,The place is nice and aesthetic.,Ambiance and Atmosphere,POSITIVE
coffee,The food and the ambiance is great!,Ambiance and Atmosphere,POSITIVE
coffee,Aesthetics is best ive seen for a coffee shop.,Product Quality,POSITIVE
coffee,Puro aesthetic pero murag sauna ang kainit sa sulod!,Ambiance and Atmosphere,NEGATIVE
coffee,"The ambiance is really nice and cozy, making it a perfect place to relax and enjoy your meal.",Ambiance and Atmosphere,POSITIVE
coffee,Plus points to the aesthetic  smiling_face_with_hearts,Ambiance and Atmosphere,POSITIVE
coffee,"Ambiance is amazing, coffee experience really is unique.",Ambiance and Atmosphere,POSITIVE
coffee,I like the pistachio milk and also nice ambiance.,Ambiance and Atmosphere,POSITIVE
coffee,The ambiance is relaxing.,Ambiance and Atmosphere,POSITIVE
coffee,"Coffee Bar Café is a cozy and welcoming spot with rich, flavorful coffee and tasty treats that perfectly complement every cup.",Product Quality,POSITIVE
coffee,Love the aesthetic place and always to go coffee heart_hands_light_skin_tone  heart_hands_light_skin_tone  heart_hands_light_skin_tone,Product Quality,POSITIVE
coffee,The ambiance is so good and the food and pastries is very delicious.,Ambiance and Atmosphere,POSITIVE
matcha,"If you are looking for a spacious and aesthetic spot to get your matcha fix, THE MATCHA TOKYO is definitely worth a visit.",Ambiance and Atmosphere,POSITIVE
coffee,And even the ambiance feels great!,Ambiance and Atmosphere,POSITIVE
coffee,"From the moment you step into Kingdom Cafe and Bistro, you'll be greeted with a warm and inviting atmosphere.",Ambiance and Atmosphere,POSITIVE
coffee,Chill place and good coffee,Ambiance and Atmosphere,POSITIVE
coffee,Best coffee and nice ambiance!,Ambiance and Atmosphere,POSITIVE
coffee,"The place is very pleasing and has a nice, cozy atmosphere.",Ambiance and Atmosphere,POSITIVE
coffee,"We all enjoyed the food, service as well as the ambiance!",Ambiance and Atmosphere,POSITIVE
coffee,The best thing about Cafe Prelaya is its cozy vibe.,Ambiance and Atmosphere,POSITIVE
coffee,"Nice area, very aesthetic.",Ambiance and Atmosphere,POSITIVE
coffee,The ambiance is relaxing too.,Ambiance and Atmosphere,POSITIVE
coffee,"There's something special about this coffee shop the cozy atmosphere, the aroma of freshly brewed coffee, and the warmth it brings.",Product Quality,POSITIVE
matcha,Its giving aesthetic  sparkles  pinched_fingers_light_skin_tone,Ambiance and Atmosphere,POSITIVE
coffee,loved the smooth spanish latte and the unique blueberry cinnamon.,Product Quality,POSITIVE
coffee,Wood and Coffee is a charming café known for its cozy ambiance and excellent brews.,Product Quality,POSITIVE
coffee,Puro aesthetic pero fail sa comfort and temperature.,Ambiance and Atmosphere,NEUTRAL
coffee,Original brewed coffee and Great coffee place,Product Quality,POSITIVE
coffee,"love the place, ambiance and the service.",Ambiance and Atmosphere,POSITIVE
coffee,I love it coffee so creamy and delecios,Product Quality,POSITIVE
coffee,The welcoming ambiance made the whole experience even better.,Ambiance and Atmosphere,POSITIVE
coffee,good ambiance despite the rain,Ambiance and Atmosphere,POSITIVE
coffee,The interior has a very relaxing ambience with a soothing ballad music that goes with it.,Ambiance and Atmosphere,POSITIVE
coffee,"friendly staff, delicous food, aesthetic vibes red_heart",Ambiance and Atmosphere,POSITIVE
coffee,"Super chill atmosphere.""",Ambiance and Atmosphere,POSITIVE
coffee,"Good Ambiance, Very Affordable Delicious Menus and Very Friendly Business,.",Ambiance and Atmosphere,POSITIVE
coffee,"The place is nice and has a relaxing, nature-inspired vibe, just as you'd expect.",Ambiance and Atmosphere,POSITIVE
coffee,I like the ambiance  winking_face,Ambiance and Atmosphere,POSITIVE
coffee,Always love the ambiance at the second floor.,Ambiance and Atmosphere,POSITIVE
coffee,A coffee shop in the downtown area offered a truly welcoming and comfortable atmosphere.,Ambiance and Atmosphere,POSITIVE
coffee,"Nice ambiance with very aesthetic, Instagrammable vibes.",Ambiance and Atmosphere,POSITIVE
coffee,Loved the ambiance of the place.,Ambiance and Atmosphere,POSITIVE
coffee,"Love the ambiance, coffee, and food.",Ambiance and Atmosphere,POSITIVE
coffee,"If you love coffee, cake and ambiance all in one this is the place to go best in the world so far!!!",Product Quality,POSITIVE
coffee,One of the best coffee shops for photoshoots or tambay!,Ambiance and Atmosphere,POSITIVE
coffee,the sweet taste of matcha blends perfectly with berry's sourness.,Product Quality,POSITIVE
coffee,Love the atmosphere of this place!,Ambiance and Atmosphere,POSITIVE
coffee,What I really love about this place is the relaxed atmosphere.,Ambiance and Atmosphere,POSITIVE
coffee,Karlos Gourmet & Coffee has a cozy vibe and unique menu selections.,Ambiance and Atmosphere,POSITIVE
coffee,"I love Kotetsu's aesthetic and concrete design look; it feels warm and not crowded, especially at night!",Ambiance and Atmosphere,POSITIVE
coffee,"The atmosphere is cozy and homey, perfect for focusing and staying productive.",Ambiance and Atmosphere,POSITIVE
coffee,Looking for good coffee + Cozy vibe?,Ambiance and Atmosphere,POSITIVE
coffee,"I like the ambiance here, it so peaceful perfect for spending time with your loved ones.",Ambiance and Atmosphere,POSITIVE
coffee,"The coffee is perfectly brewed with rich flavor and aroma, and every cup feels crafted with care.",Product Quality,POSITIVE
coffee,"They take the time to assist customers and share their knowledge about coffee, creating a welcoming and relaxing atmosphere.",Ambiance and Atmosphere,POSITIVE
coffee,The atmosphere is great,Ambiance and Atmosphere,POSITIVE
coffee,The atmosphere was so relaxing.,Ambiance and Atmosphere,POSITIVE
coffee,Experience a tropical vibe cafe where taste and tranquility meet!,Product Quality,POSITIVE
coffee,The cozy ambiance of the shop invites you to relax and savor your coffee.,Ambiance and Atmosphere,POSITIVE
coffee,I highly recommend to visit here and have your simple secret santa with friends if you like the cozy and chill vibe  sparkles,Ambiance and Atmosphere,POSITIVE
coffee,Atmosphere that keep you in,Ambiance and Atmosphere,POSITIVE
matcha,Very aesthetic and taste so good smiling_face_with_hearts,Ambiance and Atmosphere,POSITIVE
coffee,The ambiance and the place is great for hanging out.,Ambiance and Atmosphere,POSITIVE
coffee,Nice and quiet place with delicious food that's grown in their own garden.,Ambiance and Atmosphere,POSITIVE
coffee,Food is 10/10 in terms of taste and serving.,Product Quality,POSITIVE
coffee,Ambiance there is just like any other cafe's with aesthetic and chill vibes.,Ambiance and Atmosphere,POSITIVE
coffee,Food & ambiance are equally great!,Ambiance and Atmosphere,POSITIVE
coffee,Very nice place the ambiance is so relaxing  smiling_face_with_hearts,Ambiance and Atmosphere,POSITIVE
coffee,Coffee star  star  star  star  star,Product Quality,POSITIVE
coffee,Best way to get coffee and chill,Ambiance and Atmosphere,POSITIVE
coffee,The food is good and aesthetic.,Ambiance and Atmosphere,POSITIVE
coffee,I love the atmosphere - relaxing and well lit.,Ambiance and Atmosphere,POSITIVE
coffee,Very friendly staff and a nice comfortable atmosphere  growing_heart,Ambiance and Atmosphere,POSITIVE
coffee,"The place has a relaxing and homey atmosphere, perfect for family gatherings and special occasions.",Ambiance and Atmosphere,POSITIVE
coffee,Luv the Kaya & coffee with condensed milk reminiscent of Asian coffees,Product Quality,POSITIVE
coffee,Food is good and so is the atmosphere.,Ambiance and Atmosphere,POSITIVE
coffee,"Ideal place to kill time, well air-conditioned and quiet.",Ambiance and Atmosphere,POSITIVE
coffee,Good food and Good atmosphere  red_heart  red_heart  red_heart,Ambiance and Atmosphere,POSITIVE
coffee,The place is new and has this nice aesthetic.,Ambiance and Atmosphere,POSITIVE
coffee,"- Ambiance: Nice decors with xmas tree over xmas period, staff also hat xmas hats.",Ambiance and Atmosphere,POSITIVE
coffee,Bright atmosphere and jovial vibes.,Ambiance and Atmosphere,POSITIVE
coffee,The cozy ambiance and friendly staff made the experience even better.,Ambiance and Atmosphere,POSITIVE
coffee,Atmosphere: Architecture and designs are great it helps the ambiance more appealing makes the consumers to want more.,Ambiance and Atmosphere,POSITIVE
coffee,"Overall, The Secret Garden Cafe provides a charming and peaceful ambiance, perfect for those looking to unwind and enjoy good food and company.",Ambiance and Atmosphere,POSITIVE
coffee,"The place is also equally great, serene little cafe vibe!",Ambiance and Atmosphere,POSITIVE
coffee,Not only an aesthetic cafe but well curated selection of coffee and food heart_hands,Ambiance and Atmosphere,POSITIVE
matcha,"It has that calm, cozy vibe that makes you want to stay for a while.",Ambiance and Atmosphere,POSITIVE
matcha,Atmosphere of the …,Ambiance and Atmosphere,NEUTRAL
coffee,"The place was great, very clean and aesthetic.",Ambiance and Atmosphere,POSITIVE
coffee,"The coffee shop is very atmospheric, spacious and cozy.",Product Quality,POSITIVE
coffee,Fave place for tambay,Ambiance and Atmosphere,POSITIVE
coffee,"Chill Location, Great Food, Amazing Service",Ambiance and Atmosphere,POSITIVE
coffee,"The quality of the food, the impeccable service, and the peaceful ambiance all come together to create a truly unique experience.",Ambiance and Atmosphere,POSITIVE
coffee,very aesthetic place.,Ambiance and Atmosphere,POSITIVE
matcha,Nice ambiance and good food and matcha,Ambiance and Atmosphere,POSITIVE
matcha,Nice ambiance and good food and matcha,Ambiance and Atmosphere,POSITIVE
matcha,"about the place…It gives mi chill and good ambience, about the food and drinks yes it absolutely good well balanced.",Ambiance and Atmosphere,POSITIVE
matcha,very good matcha and nice interior,Product Quality,POSITIVE
matcha,very good matcha and nice interior,Product Quality,POSITIVE
coffee,It's located inside a guarded compound with a good ambiance and friendly staff.,Ambiance and Atmosphere,POSITIVE
coffee,"The ambiance is ""Noir-chic"" of glossy wood, low ceilings, and a polished aesthetic that feels very classy.",Ambiance and Atmosphere,POSITIVE
matcha,Relaxing ambiance,Ambiance and Atmosphere,POSITIVE
coffee,It's super nice and the vibe is great.,Ambiance and Atmosphere,POSITIVE
coffee,The atmosphere is calm and intimate.,Ambiance and Atmosphere,POSITIVE
coffee,"Otherwise, great location and nice interior atmosphere.",Ambiance and Atmosphere,POSITIVE
coffee,Nice ambiance the crews are very attentive,Ambiance and Atmosphere,POSITIVE
coffee,Aesthetic place but never compromises your comfort and food quality.,Ambiance and Atmosphere,POSITIVE
matcha,love the matcha salted cream,Product Quality,POSITIVE
