shop_type,sentence,TargetAspect,sentiment
coffee,"If you love coffee, cake and ambiance all in one this is the place to go best in the world so far!!!",Product Quality,
coffee,One of the best coffee shops for photoshoots or tambay!,Ambiance and Atmosphere,
coffee,the sweet taste of matcha blends perfectly with berry's sourness.,Product Quality,
coffee,Love the atmosphere of this place!,Ambiance and Atmosphere,
coffee,What I really love about this place is the relaxed atmosphere.,Ambiance and Atmosphere,
coffee,Karlos Gourmet & Coffee has a cozy vibe and unique menu selections.,Ambiance and Atmosphere,
coffee,"I love Kotetsu's aesthetic and concrete design look; it feels warm and not crowded, especially at night!",Ambiance and Atmosphere,
coffee,"The atmosphere is cozy and homey, perfect for focusing and staying productive.",Ambiance and Atmosphere,
coffee,Looking for good coffee + Cozy vibe?,Ambiance and Atmosphere,
coffee,"I like the ambiance here, it so peaceful perfect for spending time with your loved ones.",Ambiance and Atmosphere,
coffee,"The coffee is perfectly brewed with rich flavor and aroma, and every cup feels crafted with care.",Product Quality,
coffee,"They take the time to assist customers and share their knowledge about coffee, creating a welcoming and relaxing atmosphere.",Ambiance and Atmosphere,
coffee,The atmosphere is great,Ambiance and Atmosphere,
coffee,The atmosphere was so relaxing.,Ambiance and Atmosphere,
coffee,Experience a tropical vibe cafe where taste and tranquility meet!,Product Quality,
coffee,The cozy ambiance of the shop invites you to relax and savor your coffee.,Ambiance and Atmosphere,
coffee,I highly recommend to visit here and have your simple secret santa with friends if you like the cozy and chill vibe  sparkles,Ambiance and Atmosphere,
coffee,Atmosphere that keep you in,Ambiance and Atmosphere,
matcha,Very aesthetic and taste so good smiling_face_with_hearts,Ambiance and Atmosphere,
coffee,The ambiance and the place is great for hanging out.,Ambiance and Atmosphere,
coffee,Nice and quiet place with delicious food that's grown in their own garden.,Ambiance and Atmosphere,
coffee,Food is 10/10 in terms of taste and serving.,Product Quality,
coffee,Ambiance there is just like any other cafe's with aesthetic and chill vibes.,Ambiance and Atmosphere,
coffee,Food & ambiance are equally great!,Ambiance and Atmosphere,
coffee,Very nice place the ambiance is so relaxing  smiling_face_with_hearts,Ambiance and Atmosphere,
coffee,Coffee star  star  star  star  star,Product Quality,
coffee,Best way to get coffee and chill,Ambiance and Atmosphere,
coffee,The food is good and aesthetic.,Ambiance and Atmosphere,
coffee,I love the atmosphere - relaxing and well lit.,Ambiance and Atmosphere,
coffee,Very friendly staff and a nice comfortable atmosphere  growing_heart,Ambiance and Atmosphere,
coffee,"The place has a relaxing and homey atmosphere, perfect for family gatherings and special occasions.",Ambiance and Atmosphere,
coffee,Luv the Kaya & coffee with condensed milk reminiscent of Asian coffees,Product Quality,
coffee,Food is good and so is the atmosphere.,Ambiance and Atmosphere,
coffee,"Ideal place to kill time, well air-conditioned and quiet.",Ambiance and Atmosphere,
coffee,Good food and Good atmosphere  red_heart  red_heart  red_heart,Ambiance and Atmosphere,
coffee,The place is new and has this nice aesthetic.,Ambiance and Atmosphere,
coffee,"- Ambiance: Nice decors with xmas tree over xmas period, staff also hat xmas hats.",Ambiance and Atmosphere,
coffee,Bright atmosphere and jovial vibes.,Ambiance and Atmosphere,
coffee,The cozy ambiance and friendly staff made the experience even better.,Ambiance and Atmosphere,
coffee,Atmosphere: Architecture and designs are great it helps the ambiance more appealing makes the consumers to want more.,Ambiance and Atmosphere,
coffee,"Overall, The Secret Garden Cafe provides a charming and peaceful ambiance, perfect for those looking to unwind and enjoy good food and company.",Ambiance and Atmosphere,
coffee,"The place is also equally great, serene little cafe vibe!",Ambiance and Atmosphere,
coffee,Not only an aesthetic cafe but well curated selection of coffee and food heart_hands,Ambiance and Atmosphere,
matcha,"It has that calm, cozy vibe that makes you want to stay for a while.",Ambiance and Atmosphere,
matcha,Atmosphere of the …,Ambiance and Atmosphere,
coffee,"The place was great, very clean and aesthetic.",Ambiance and Atmosphere,
coffee,"The coffee shop is very atmospheric, spacious and cozy.",Product Quality,
coffee,Fave place for tambay,Ambiance and Atmosphere,
coffee,"Chill Location, Great Food, Amazing Service",Ambiance and Atmosphere,
coffee,"The quality of the food, the impeccable service, and the peaceful ambiance all come together to create a truly unique experience.",Ambiance and Atmosphere,
coffee,very aesthetic place.,Ambiance and Atmosphere,
matcha,Nice ambiance and good food and matcha,Ambiance and Atmosphere,
matcha,Nice ambiance and good food and matcha,Ambiance and Atmosphere,
matcha,"about the place…It gives mi chill and good ambience, about the food and drinks yes it absolutely good well balanced.",Ambiance and Atmosphere,
matcha,very good matcha and nice interior,Product Quality,
matcha,very good matcha and nice interior,Product Quality,
coffee,It's located inside a guarded compound with a good ambiance and friendly staff.,Ambiance and Atmosphere,
coffee,"The ambiance is ""Noir-chic"" of glossy wood, low ceilings, and a polished aesthetic that feels very classy.",Ambiance and Atmosphere,
matcha,Relaxing ambiance,Ambiance and Atmosphere,
coffee,It's super nice and the vibe is great.,Ambiance and Atmosphere,
coffee,The atmosphere is calm and intimate.,Ambiance and Atmosphere,
coffee,"Otherwise, great location and nice interior atmosphere.",Ambiance and Atmosphere,
coffee,Nice ambiance the crews are very attentive,Ambiance and Atmosphere,
coffee,Aesthetic place but never compromises your comfort and food quality.,Ambiance and Atmosphere,
matcha,love the matcha salted cream,Product Quality,
