place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic,prob_negative,prob_neutral,prob_positive,predicted_label,margin
"KAOS CAFE - 24 Hours, Jacinto St.",2,coffee,I hope the restaurant can improve its quality control and customer service when such issues arise.,Customer Service,,False,0.40561965,0.21641417,0.37796617,NEGATIVE,0.027653486
Humble Table,1,coffee,What was disappointing was the lack of coordination among staff and the fact that no one apologized for the missed orders.,Customer Service,,False,0.41665652,0.20996659,0.37337694,NEGATIVE,0.04327959
Coffee Project Mintal,1,coffee,Politely informed the staff that the chicken is not fully cooked.,Customer Service,,False,0.41916415,0.20719887,0.37363702,NEGATIVE,0.04552713
Zooz Wooz Cafe,1,coffee,No need to be rude and never ever understemate customer at all you dont know who you will deal with and also dont put moody staff in the morning that looks like carrying the whole world problem face like an airport runway sad and moody.,Customer Service,,False,0.39242455,0.23024957,0.3773258,NEGATIVE,0.015098751
Kotetsu by Wood and Coffee,3,coffee,"As for the prices, it's pretty much the same as the prices of their sister cafe (wood and coffee) so I wouldn't say that the cafe is student friendly because of this.",Customer Service,,False,0.41054016,0.21362856,0.37583134,NEGATIVE,0.034708828
Barok Cafe and Resto,3,coffee,The frappe is good the store is nice it's just that the customer service in pryce branch is not that welcoming vibes knowing they are partnering with dinolandia.,Customer Service,,False,0.39906242,0.22113085,0.37980673,NEGATIVE,0.019255698
Juice Cubi Roxas Avenue,3,coffee,Meals: They only offer pastries and finger foods Service & Staff: Very good Ambiance: Very good,Customer Service,,False,0.4233554,0.19306177,0.38358277,NEGATIVE,0.03977263
Barok Cafe & Resto,1,coffee,What really pushed this from mildly inconvenient to completely unacceptable was the drink service.,Customer Service,,False,0.40514764,0.21773313,0.3771192,NEGATIVE,0.028028429
Fiend Coffee Club,3,coffee,The barista said they used arabica but after tasting we insisted to add extra shots of espresso for our drinks as it didnt taste strong.,Customer Service,,False,0.40590295,0.21672882,0.37736824,NEGATIVE,0.02853471
Seattle's Best Coffee,2,coffee,Poorly maintained restroom upstars causing stinking smell No screen to check if order is done No buzzer or beeper You wouldn't know unless you check their claim area from time to time Cashiers are friendly,Customer Service,,False,0.39160675,0.22926098,0.37913227,NEGATIVE,0.012474477
Green Coffee - Diversion,3,coffee,"UNDERSTAFFED for the deluge of people, cashier is doing everything at the same time making orders toooooooo looooong!!",Customer Service,,False,0.40196908,0.22187279,0.37615815,NEGATIVE,0.025810927
"KAOS CAFE - 24 Hours, Jacinto St.",1,coffee,"I hope this feedback is taken constructively and used to improve staff training, product knowledge, and order handling moving forward.",Customer Service,,False,0.4208721,0.19251455,0.38661334,NEGATIVE,0.034258753
Dunkin' Donuts- C. P. Garcia Highway,3,coffee,"Hopefully, management can address the service and organization soon.",Customer Service,,False,0.4193271,0.19875331,0.3819196,NEGATIVE,0.037407517
The Crazy Bite Co. Sky Cafe,3,coffee,"The tapa is like our tocino at home although the chicken fillet so good 10/10 and the staff is very accommodating, like no judgement indeed.",Customer Service,,False,0.42394072,0.19565773,0.38040164,NEGATIVE,0.043539077
The Bloom Coffee & Start-Up Space,3,coffee,slow service of pizza food,Customer Service,,False,0.40576535,0.21565711,0.37857756,NEGATIVE,0.027187794
ROOFTOP Café Bar,3,coffee,"The food is good and the customer service is superb However, there is one mistake that could've affected our appetite There was tissue in their salad disappointed_face  Though I know it is not intentional We still ate it, but be more cautious when serving the food and double check moving forward folded_hands  And we noticed that they were also surprised when I told them about our concern It's good that they apologized for the customer service because they were very accommodating And another thing, they have a lot of servings in the food folded_hands",Customer Service,,False,0.41072404,0.21670741,0.37256852,NEGATIVE,0.038155526
Haron's Cafe,2,coffee,"Having read good reviews from at least a year back to as far as three (3) years ago, well I EXPECTED the same but….First, it took minutes for the one lone busy staff behind the counter to approach my table to get my order.",Customer Service,,False,0.4212074,0.20235258,0.37644,NEGATIVE,0.04476741
The Matcha Tokyo - Azuela High Street,1,matcha,"For a premium-priced establishment, the service and quality should be much higher.",Customer Service,,False,0.42065898,0.19563459,0.38370648,NEGATIVE,0.036952496
Starbucks - Abreeza Mall,1,coffee,The barista bulled the kitchen rag after wipeing the tables right over my coffe while preparing it dripping.,Customer Service,,False,0.39826834,0.22287485,0.37885684,NEGATIVE,0.019411504
Solace - Coffee Club,2,coffee,"Then your barista said that customers don't like cocoa powder on top because it's bitter, I don't know what is the exact standard of the cold cappuccino but based on my experience at barista abroad we put chocolate powder to balance the bitterness and sweetness while sipping the coffee.",Customer Service,,False,0.39326936,0.22885823,0.3778724,NEGATIVE,0.015396953
Green Coffee - Marfori,1,coffee,"I asked them what they recommend for tea that tastes the same as normal iced tea so the cashier asked the barista if they had any, the barista said ""nothing"".",Customer Service,,False,0.39901838,0.22313535,0.3778463,NEGATIVE,0.021172076
"KAOS CAFE - 24 Hours, Jacinto St.",1,coffee,"While I appreciate the store's focus on aesthetics and product quality, I believe equal importance should be given to product knowledge so that staff can properly explain what each product is when customers ask.",Customer Service,,False,0.40203372,0.21512738,0.38283893,NEGATIVE,0.019194782
AtCurbside,1,coffee,"my first 2 visits, i encountered the same barista.",Customer Service,,False,0.407818,0.20865862,0.38352337,NEGATIVE,0.024294615
Davao Beans,1,coffee,Naay langaw sa sulod kay guba ilang door closer.,Facilities and Amenities,,True,0.39806998,0.2179762,0.3839539,NEGATIVE,0.014116079
Daleachious Cafe - Bago Aplaya Branch,3,coffee,"Daleachious Cafe Bago Aplaya is cozy and aesthetic, perfect for chill hangouts and study sessions.",Facilities and Amenities,,False,0.39588737,0.21614204,0.38797057,NEGATIVE,0.007916808
Brewers Hub,1,coffee,The aircon is dripping water sa among table.,Facilities and Amenities,,True,0.40451562,0.2150668,0.38041753,NEGATIVE,0.024098098
Matcha Factory,1,matcha,No designated smoking area so the smoke goes inside.,Facilities and Amenities,,True,0.40753224,0.21061118,0.3818566,NEGATIVE,0.025675654
Labada Brew,3,coffee,"Overall, it's still a decent place if you just want somewhere nearby to chill or work.",Facilities and Amenities,,False,0.41218132,0.200945,0.3868737,NEGATIVE,0.025307626
Matcha Brew,2,matcha,"Ngitngit ang cafe, sakit sa mata mag basa.",Facilities and Amenities,,True,0.41512194,0.20618153,0.37869656,NEGATIVE,0.036425382
Matcha Blend,1,matcha,"The outdoor tables are dusty, murag wala gi trapohan.",Facilities and Amenities,,True,0.42351344,0.19346818,0.3830183,NEGATIVE,0.040495127
Brew Davao,1,coffee,"Guba ilang aircon, init kaayo sa sulod murag oven.",Facilities and Amenities,,True,0.40541646,0.2119321,0.3826515,NEGATIVE,0.022764951
Barok Cafe and Resto,2,coffee,For being a co working space.,Facilities and Amenities,,False,0.39535517,0.21894488,0.38569996,NEGATIVE,0.009655207
Matcha Mood,2,matcha,"Amoy damp ang sulod sa shop, parang kulob.",Facilities and Amenities,,True,0.41393384,0.20321067,0.3828555,NEGATIVE,0.031078339
Hygge Coffee,3,coffee,Good wifi,Facilities and Amenities,,False,0.40239894,0.21241558,0.3851855,NEGATIVE,0.017213434
Coffeecat,3,coffee,"internet is fast, however the price and taste is not that nice hahahaha",Facilities and Amenities,,False,0.41884258,0.20379673,0.3773607,NEGATIVE,0.041481882
Matcha Mix,1,matcha,Wala man lay basurahan sa gawas for the tissues.,Facilities and Amenities,,True,0.40752006,0.21119042,0.38128954,NEGATIVE,0.026230514
The Bloom Coffee & Start-Up Space,2,coffee,"Overall, while the space itself is aesthetically pleasing and has potential, the long waiting time, inconsistent food quality, limited drink service, and minor hygiene concerns made the experience underwhelming.",Facilities and Amenities,,False,0.42331308,0.1886285,0.38805845,NEGATIVE,0.035254627
Starbucks - Matina IT Park,1,coffee,"Rewriting my review here, this place has become one of my go to coffee shops in town to unwind/have a me time or work.",Facilities and Amenities,,False,0.4116082,0.20294383,0.38544795,NEGATIVE,0.02616024
Matcha Hub,1,matcha,"Only one comfort room for all customers, grabe ang pila.",Facilities and Amenities,,True,0.42844287,0.18914022,0.3824169,NEGATIVE,0.04602596
Davao Cafe,2,coffee,"Dami lamok sa al fresco area nila, walay fan man lang.",Facilities and Amenities,,True,0.41977897,0.199008,0.381213,NEGATIVE,0.038565964
Orion Coffee,1,coffee,The place is quite conducive for studying and doing other desktop work.,Facilities and Amenities,,False,0.3987379,0.2139438,0.38731837,NEGATIVE,0.011419535
Daily Brew,1,coffee,"Sakit sa likod ilang mga bangko, not for long hours.",Facilities and Amenities,,True,0.42200717,0.19993874,0.37805405,NEGATIVE,0.04395312
Matcha Lab,2,matcha,"Medyo hugaw ang floor, daghan pa tissue nag kalat.",Facilities and Amenities,,True,0.40856677,0.21059465,0.3808385,NEGATIVE,0.02772826
Starbucks Damosa IT Park Drive-Thru,3,coffee,"I think, this is the only Starbucks in the world that doesn't offer a free wifi connection.",Facilities and Amenities,,False,0.40459058,0.21865031,0.37675905,NEGATIVE,0.027831525
Matcha Lounge,1,matcha,"Mga chairs nila naay rust, maka guba ug sanina.",Facilities and Amenities,,True,0.39545313,0.22201504,0.3825318,NEGATIVE,0.012921333
Seattle's Best Coffee,1,coffee,They will also knock the door of the comfort room if you go there a bit longer (nobody poop that'll last a sec) and won't even ask apology when you go out.,Facilities and Amenities,,False,0.41952372,0.2090705,0.37140587,NEGATIVE,0.048117846
Matcha Haven,1,matcha,"Guba ilang mga chairs, medyo wobbly and delikado.",Facilities and Amenities,,True,0.39879924,0.21727374,0.38392702,NEGATIVE,0.014872223
Brewery Dvo,1,coffee,Init pa sa impyerno ilang al fresco. Walay fans jud.,Facilities and Amenities,,True,0.41698635,0.2027754,0.38023823,NEGATIVE,0.03674811
Matcha Cafe,1,matcha,Basag na ilang mga plates and cups. Not presentable.,Facilities and Amenities,,True,0.42306337,0.19769844,0.37923822,NEGATIVE,0.04382515
Krispy Kreme Doughnuts® - SM Lanang,3,coffee,This particular outlet is on the ground floor of the mall and immediately visible when you walk in.,Facilities and Amenities,,False,0.39759085,0.21494302,0.3874661,NEGATIVE,0.010124743
Pedal Cafe Davao,3,coffee,"That Sunday the coffee tables and ladies behind the hotel's front desk counter was an EYESORE with one also visibly folding some laundry….But the fairly-priced, tasty large Miss Saigon and Tsokolate drinks was a salute to visit again… Sadly, that time only a dark brown cookie on display was not even tempting….The white sheet right under the lid was innovative to prevent spills during take outs…..",Facilities and Amenities,,False,0.4164202,0.20611963,0.37746027,NEGATIVE,0.03895992
Chatime - SM Ecoland Davao,3,coffee,Very small space too.,Facilities and Amenities,,False,0.4322584,0.18372382,0.38401777,NEGATIVE,0.04824063
Hygge Coffee,3,coffee,No fans din so it got very hot especially with their lights :/ please turn on your aircon esp pag madami na tao,Facilities and Amenities,,False,0.41134676,0.20922852,0.37942472,NEGATIVE,0.031922042
Starbucks - SM Lanang,3,coffee,limited wifi internet access (gowifi from globe)  smiling_face_with_smiling_eyes  …,Facilities and Amenities,,False,0.40024373,0.22415343,0.37560287,NEGATIVE,0.024640858
Starbucks - SM City Davao,3,coffee,They didn't have WIFI,Facilities and Amenities,,False,0.41861582,0.20542121,0.375963,NEGATIVE,0.042652816
Es.cafe,1,coffee,Atmosphere (2/5) the chairs are not very aesthetic.,Facilities and Amenities,,False,0.3996478,0.21492125,0.38543093,NEGATIVE,0.01421687
Ristretto Cafe & Diner,1,coffee,"We decided to stop by their cafe to work on it together, thinking it would be a good place to stay.",Facilities and Amenities,,False,0.4180061,0.2022107,0.37978324,NEGATIVE,0.03822285
Green Coffee - Marfori,3,coffee,Kind staff Good place to study and chill for an exted period of time.,Facilities and Amenities,,False,0.40158212,0.20969227,0.3887256,NEGATIVE,0.012856513
Leaf & Bean,1,matcha,"Luod ilang CR, walay hand soap and water is very hina.",Facilities and Amenities,,True,0.4039752,0.21277158,0.38325328,NEGATIVE,0.020721912
Hygge Coffee,2,coffee,They also said there was no wifi?,Facilities and Amenities,,False,0.41668686,0.20873913,0.37457404,NEGATIVE,0.042112827
Kape Tayo,2,coffee,"Sira yung isang toilet, tapos ang dumi pa ng isa.",Facilities and Amenities,,True,0.40113172,0.21649599,0.38237223,NEGATIVE,0.018759489
Fika Cafe - Lapu-Lapu,3,coffee,"Used plates and glasses were left on tables for a while, making the place look messy and affecting the overall ambiance.",Facilities and Amenities,,False,0.40480486,0.21236908,0.3828261,NEGATIVE,0.021978766
City Brew,1,coffee,They only have 1 socket sa whole cafe. Hassle kaayo.,Facilities and Amenities,,True,0.41727906,0.20568956,0.3770314,NEGATIVE,0.04024768
Coffee Project Mintal,1,coffee,The coffee is very expensive but there is no internet.,Facilities and Amenities,,False,0.4224763,0.20049375,0.3770299,NEGATIVE,0.045446396
Mori & Mill,1,coffee,"If they knew how to flip tables and hold reservations minutes before the assigned reservation time, WE COULD'VE EATEN ALREADY.",Facilities and Amenities,,False,0.40402883,0.21786384,0.37810734,NEGATIVE,0.025921494
Hid'n Coffee,1,coffee,"NOT RECOMMENDED, FLIES ARE EVERYWHERE WE ASKED FOR ADDITIONAL CANDLE BUT THEY SAID THEY CAN ONLY PROVIDE 1 CANDLE PER TABLE TOLD THEM WE WILL BE OCCUPYING 2 TABLES BUT THEY JUST IGNORED US.",Facilities and Amenities,,False,0.40829673,0.21514383,0.3765595,NEGATIVE,0.03173724
Steep Kohi,3,coffee,"Overall, one of the better matchas in the city if you can overlook the cramped space.",Facilities and Amenities,,False,0.397098,0.21730545,0.3855965,NEGATIVE,0.011501491
Night Brew,1,coffee,Clogged ang sink sa ilang washroom. Luod kaayo.,Facilities and Amenities,,True,0.41451067,0.20337947,0.38210985,NEGATIVE,0.032400817
Kape Hapon,1,coffee,"Walay tabo or bidet sa CR, mag unsa man mi?",Facilities and Amenities,,True,0.39908168,0.22221431,0.378704,NEGATIVE,0.020377666
MANU Coffee,2,coffee,May dedicated parking space.,Facilities and Amenities,,False,0.4206411,0.19370694,0.385652,NEGATIVE,0.03498909
Matcha Stop,1,matcha,Init jud kaayo kay isa ra ang aircon na ga andar.,Facilities and Amenities,,True,0.39652357,0.2234565,0.38002,NEGATIVE,0.016503572
Matcha Co.,1,matcha,"Alimoot kaayo sa ilang outdoor setup, walang electric fan.",Facilities and Amenities,,True,0.41150895,0.20752665,0.38096443,NEGATIVE,0.03054452
Finca,2,coffee,"The café shares the space with a clinic, which explains the noise.",Facilities and Amenities,,False,0.40356007,0.21199796,0.38444197,NEGATIVE,0.0191181
Coffee Project Mintal,1,coffee,Not ideal for meetings or work.,Facilities and Amenities,,False,0.42681873,0.18826436,0.384917,NEGATIVE,0.041901737
HYGGE COFFEE 2,2,coffee,Cafe has an extension room for additional space.,Facilities and Amenities,,False,0.41710913,0.20082434,0.3820665,NEGATIVE,0.035042644
Matcha Club,2,matcha,"Walay ilaw sa ilang parking lot, medyo scary sa gabi.",Facilities and Amenities,,True,0.42242754,0.19693215,0.3806403,NEGATIVE,0.041787237
We Got Cha! - Mintal,1,coffee,"The aircon is weak, when you go inside it just smokes because the exhaust fan doesn't work.",Facilities and Amenities,,False,0.4160066,0.2074289,0.37656447,NEGATIVE,0.039442122
Annipie Roxas,3,coffee,Limited parking space at the front was cramped.,Facilities and Amenities,,False,0.4294434,0.18617538,0.38438123,NEGATIVE,0.045062155
Mori & Mill,1,coffee,Some of the tables remained vacant the entire 1 hour and 30 minutes of our wait.,Facilities and Amenities,,False,0.41220438,0.2084933,0.37930235,NEGATIVE,0.032902032
Kape Sikat,1,coffee,Walay mirror sa CR ug ngitngit kaayo ang suga.,Facilities and Amenities,,True,0.4047199,0.21682128,0.37845886,NEGATIVE,0.026261032
Krispy Kreme Factory Store Davao,3,coffee,"Comfort room, always not available",Facilities and Amenities,,False,0.41408187,0.2033948,0.38252336,NEGATIVE,0.031558514
Starbucks,3,coffee,"This Starbucks branch is pretty much your regular Starbucks experience — familiar setup, consistent coffee, standard food options, and the usual comfortable place to sit down, meet, or get some work done.",Facilities and Amenities,,False,0.41313338,0.19493479,0.39193183,NEGATIVE,0.021201551
Brew Stop,2,coffee,Hina ang aircon. Singot kaayo ko nag inom ug kape.,Facilities and Amenities,,True,0.4091949,0.21180403,0.37900114,NEGATIVE,0.030193746
ZeusX Esports and Cafe,1,coffee,I hope management can work on improving consistency in how guests are treated.,Facilities and Amenities,,False,0.40686613,0.2105473,0.3825866,NEGATIVE,0.024279535
Dunkin’ | Gaisano Mall of Davao,1,coffee,"Unprofessional behavior such us rude look, banging and slamming noises behind the counter - an expression of irritation, focusing on paper work instead of attending to customers.",Facilities and Amenities,,False,0.40632558,0.21517885,0.37849554,NEGATIVE,0.027830034
Matcha House,1,matcha,"Mabaho ang CR, amoy ihi hanggang sa counter.",Facilities and Amenities,,True,0.40947914,0.20841815,0.38210264,NEGATIVE,0.027376503
Green Coffee - Marfori,2,coffee,Worse Internet Connection,Facilities and Amenities,,False,0.4002571,0.219957,0.37978587,NEGATIVE,0.020471245
Matcha Base,1,matcha,"Guba ang mga saksakan, sunog pa yata ang isa.",Facilities and Amenities,,True,0.40480655,0.21541454,0.3797789,NEGATIVE,0.025027663
The Crazy Bite Co. Sky Cafe,1,coffee,Any kind of service crew asking you to move tables in a middle of a meal should be re trained.,Facilities and Amenities,,False,0.39917484,0.22231393,0.37851128,NEGATIVE,0.02066356
Green Coffee - Diversion,1,coffee,Downside is the staff will purposely turn off the power in your socket while you're charging if they think you're staying long enough already.,Facilities and Amenities,,False,0.40016586,0.22530286,0.3745313,NEGATIVE,0.025634557
Kape Street,1,coffee,"Basa ang salog sa CR, delikado maka slide.",Facilities and Amenities,,True,0.40238932,0.21781826,0.37979242,NEGATIVE,0.022596896
Starbucks,3,coffee,The internet is bad,Facilities and Amenities,,False,0.40691885,0.21280617,0.38027495,NEGATIVE,0.026643902
Coffee at Yellow Hauz,3,coffee,"Nevertheless, theyve got super fast and unlimited internet access.",Facilities and Amenities,,False,0.41956392,0.20078875,0.37964737,NEGATIVE,0.039916545
The Crazy Bite Co. Sky Cafe,3,coffee,"The other customers at the other tables (there were 3 other occupied tables) were not the loud, dirty-mouth types.",Facilities and Amenities,,False,0.41583735,0.20529716,0.37886548,NEGATIVE,0.036971867
Aloha Kakou Neighborhood Cafe,3,coffee,A new food outlet for diners across SM City Davao.,Facilities and Amenities,,False,0.41327038,0.19919758,0.38753206,NEGATIVE,0.025738329
The Bloom Coffee & Start-Up Space,3,coffee,Good place to study because there are many outlets and the wifi is strong.,Facilities and Amenities,,False,0.40075856,0.21329515,0.3859463,NEGATIVE,0.014812261
JH Garden Cafe and Restaurant Matina,2,coffee,Ask the waiter for a wifi voucher which covers only 2 hours.,Facilities and Amenities,,False,0.40711755,0.213464,0.37941852,NEGATIVE,0.027699023
Kotetsu by Wood and Coffee,3,coffee,"The coffee shop offers ample parking space, thanks to its location in a commercial area.",Facilities and Amenities,,False,0.41147825,0.1985483,0.38997346,NEGATIVE,0.02150479
Koffiepauze,3,matcha,Internet access is limited with time,Facilities and Amenities,,False,0.40082636,0.22062896,0.37854466,NEGATIVE,0.022281706
Chatime - SM Ecoland Davao,3,coffee,"Cute Near cr and entrance/exit Wide selction of flavours Tea, fruits, coffee and chocolate flavours available",Facilities and Amenities,,False,0.39143917,0.22466551,0.38389534,NEGATIVE,0.007543832
Green Coffee - Ecoland,2,coffee,Tables are all over the place and are not well maintained,Facilities and Amenities,,False,0.39962155,0.21973626,0.38064215,NEGATIVE,0.0189794
Barok Cafe & Resto,1,coffee,I only discovered the issue when I tried to transfer the connection from my phone to my laptop.,Facilities and Amenities,,False,0.4095778,0.2163098,0.37411237,NEGATIVE,0.03546542
Cafe Uno,2,coffee,"Super init sa second floor, di keri mag stay dugay.",Facilities and Amenities,,True,0.41221312,0.2068181,0.38096875,NEGATIVE,0.031244367
Krispy Kreme Doughnuts® - SM Lanang,1,coffee,"I work in the hospitality,",Facilities and Amenities,,False,0.40950075,0.20573097,0.38476828,NEGATIVE,0.02473247
MANU Coffee,2,coffee,Pros: Marami socket.,Facilities and Amenities,,False,0.405341,0.20932941,0.38532963,NEGATIVE,0.020011365
Black Scoop Cafe Matina,2,coffee,"The wifi service is intermittent, on and off, I think the staff purposely turns off the wifi to turn away customers that bought more items from the premises and there are 4 airconditioning units that's not being use, the shop was humid and hot inside",Facilities and Amenities,,False,0.41420487,0.21085711,0.37493795,NEGATIVE,0.039266914
Steep Kohi,2,coffee,"matcha was mid for its price, barista didn't seem welcoming",Price and Value,,False,0.4156644,0.20574684,0.3785887,NEGATIVE,0.0370757
The Secret Garden Cafe,3,coffee,But for its price of 180.,Price and Value,,False,0.41455474,0.20919284,0.37625244,NEGATIVE,0.038302302
Green Bread - Matina,3,coffee,Hopefully they can improve the quality and quantity since the price was not cheap.,Price and Value,,False,0.4181336,0.20828936,0.37357697,NEGATIVE,0.044556618
Lanang Matcha House,2,matcha,Pricey for a matcha place in Davao City.,Price and Value,,True,0.40809762,0.21229485,0.37960756,NEGATIVE,0.028490067
Matcha Matina,1,matcha,Grabe sad ka mahal ang matcha dre uy.,Price and Value,,True,0.41157416,0.21303192,0.37539396,NEGATIVE,0.0361802
Kape Obrero,2,coffee,"You pay more for the aesthetic, dili worth it ang drinks.",Price and Value,,True,0.40189734,0.21975252,0.37835008,NEGATIVE,0.023547262
Barok Cafe and Resto,2,coffee,"At the end of the day, no matter how expensive a product is, customers are willing to pay if it's worth it.",Price and Value,,False,0.4134289,0.20983762,0.37673345,NEGATIVE,0.03669545
The Matcha Tokyo - Azuela High Street,3,matcha,Only problem I had was the outrageous price for just a decent-regular cup of matcha.,Price and Value,,False,0.40227914,0.223608,0.37411278,NEGATIVE,0.028166354
Daleachious Cafe - Ecoland Branch,3,coffee,"food is mid for the price, burger patty looked raw had to re-heat it at home.",Price and Value,,False,0.40964994,0.21736187,0.37298825,NEGATIVE,0.036661685
Café Joa,3,coffee,Food is just expensive for its taste but not that very special.,Price and Value,,False,0.42151418,0.20184317,0.37664264,NEGATIVE,0.04487154
Lanang Matcha House,1,matcha,Mahal kaayo ang matcha nila compared sa uban.,Price and Value,,True,0.3989264,0.22231042,0.37876317,NEGATIVE,0.020163238
Cafe Agdao,2,coffee,Di worth it ang price sa quality sa food.,Price and Value,,True,0.4088969,0.21572644,0.37537664,NEGATIVE,0.03352025
Cafe Julieta,1,coffee,Ordered breakfast of Beef Tapa full of hard chewing tendons and so expensive about 380 pesos or less.,Price and Value,,False,0.3963005,0.22603938,0.37766013,NEGATIVE,0.01864037
Ecoland Coffee Co,2,coffee,"Dili ko mu-utro ug palit, kamahal sa ilang drinks.",Price and Value,,True,0.40954462,0.21169347,0.37876198,NEGATIVE,0.03078264
Starbucks - SM City Davao,3,coffee,Convenient to meet but overpriced like everywhere,Price and Value,,False,0.40166473,0.21865968,0.37967563,NEGATIVE,0.021989107
Buhangin Brew,1,coffee,"Mahal na gani, wa pajud lami ang pagka timpla.",Price and Value,,True,0.40349603,0.21663107,0.3798729,NEGATIVE,0.023623139
Coffeecat,3,coffee,"My only gripe is the fact that the inside of the serving is hollow, which makes its relatively steep price even less justifiable.",Price and Value,,False,0.4128728,0.21686254,0.37026468,NEGATIVE,0.042608112
Torres Brews,2,coffee,Dili ko ganahan sa price kay overcharged ra kaayo.,Price and Value,,True,0.41819814,0.20915428,0.37264758,NEGATIVE,0.045550555
Starbucks,2,coffee,Expensive,Price and Value,,False,0.41525927,0.20579097,0.3789497,NEGATIVE,0.03630957
Ecoland Coffee Co,1,coffee,Mahal kaayo ang food tapos ang gamay sa portion.,Price and Value,,True,0.39786282,0.22371536,0.37842178,NEGATIVE,0.019441038
Cafe Agdao,1,coffee,Di sya worth it for its price point.,Price and Value,,True,0.4108381,0.21089181,0.37827012,NEGATIVE,0.032567978
Don Macchiatos Coffee,3,matcha,The price match the taste  winking_face  Perfect for students.,Price and Value,,False,0.4014979,0.21689115,0.381611,NEGATIVE,0.01988691
Buhangin Brew,2,coffee,Gamay ra ang cake slice para sa 150 pesos.,Price and Value,,True,0.394652,0.22823735,0.37711063,NEGATIVE,0.017541379
Green Coffee - Marfori,1,coffee,Unlike starbucks you know the value customer's comfort.,Price and Value,,False,0.39701048,0.22239858,0.38059095,NEGATIVE,0.01641953
Green Coffee - Marfori,3,coffee,Their coffee is starbucks price but not starbucks taste and service.,Price and Value,,False,0.4044616,0.21501504,0.38052338,NEGATIVE,0.023938209
Coffee Project Mintal,1,coffee,"expectation vs. reality is bad on the menu, you can see big cubes of beef in the pic but the serving is ground  zany_face  doesn't taste good and small servings for such an expensive price.",Price and Value,,False,0.4162699,0.21452427,0.36920577,NEGATIVE,0.047064126
Coffee Project Mintal,1,coffee,Expensive,Price and Value,,False,0.41525927,0.20579097,0.3789497,NEGATIVE,0.03630957
Kape Obrero,1,coffee,Mura mag ginto ang presyo sa ila drinks.,Price and Value,,True,0.40572196,0.21738394,0.37689412,NEGATIVE,0.028827846
Lanang Matcha House,2,matcha,"Ang mahal ng matcha nila, di naman authentic ang lasa.",Price and Value,,True,0.41947594,0.20471248,0.37581155,NEGATIVE,0.043664396
Hygge Coffee,2,coffee,My number one pain point is how expensive it is on so little that you get.,Price and Value,,False,0.408787,0.21922794,0.371985,NEGATIVE,0.036802024
The Coffee Lounge,3,coffee,Portion: 3/5 - small serving for its price.,Price and Value,,False,0.42413914,0.19571601,0.38014483,NEGATIVE,0.043994308
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,"However, waiting 50 minutes for a gamy longanisa sandwich which is basically just cheap ground pork w salt and pepper is disappointing.",Price and Value,,False,0.40817586,0.21630286,0.37552127,NEGATIVE,0.032654583
Daleachious Cafe - Ecoland Branch,2,coffee,patronizing this cafe is basically just begging to be robbed; there's simply no way to justify these prices with the value of the service being provided.,Price and Value,,False,0.40182334,0.22581868,0.37235796,NEGATIVE,0.029465377
Kape Obrero,2,coffee,"Mahal kaayo ang drinks, di worth it for the price.",Price and Value,,True,0.41566622,0.20807534,0.37625846,NEGATIVE,0.03940776
Buhangin Brew,2,coffee,Di makatarungan ang kamahal sa ila food and drinks.,Price and Value,,True,0.3942232,0.22426574,0.381511,NEGATIVE,0.01271221
Dunkin' Donuts,3,coffee,Affordable and yummy donuts.,Price and Value,,False,0.42189094,0.19738337,0.3807257,NEGATIVE,0.041165233
MYLK Cafe,1,matcha,cold brew was meh... sayang pera,Price and Value,,False,0.40859488,0.20940557,0.38199955,NEGATIVE,0.026595324
Finca,3,coffee,Price is kind of higher than the rest of the coffee shops.,Price and Value,,False,0.40489107,0.21613236,0.37897658,NEGATIVE,0.02591449
Torres Brews,1,coffee,The price is not justified by the taste and size.,Price and Value,,True,0.40637058,0.21815044,0.37547898,NEGATIVE,0.030891597
Starbucks - SM City Davao,1,coffee,To crazy expensive,Price and Value,,False,0.4126237,0.20974506,0.37763122,NEGATIVE,0.034992486
Lara Mia Café & Bistro,3,coffee,thumbs_up  thumbs_up  thumbs_up  Biscuit gelato super good din  thumbs_up  thumbs_up  thumbs_up  Your price is good or fair naman but the food portion should be just right.,Price and Value,,False,0.40078187,0.2212747,0.37794346,NEGATIVE,0.022838414
Lanang Matcha House,2,matcha,Way pulos ang kape nila for that expensive price.,Price and Value,,True,0.41810927,0.20786715,0.37402365,NEGATIVE,0.04408562
Lanang Matcha House,1,matcha,Di worth it i-spend akong kwarta dire.,Price and Value,,True,0.40974492,0.21381828,0.37643674,NEGATIVE,0.03330818
Buhangin Brew,2,coffee,"Mahal kaayo, dili ko mubalik dire na cafe.",Price and Value,,True,0.4126758,0.21087973,0.37644443,NEGATIVE,0.03623137
Roxas Beans,2,coffee,Sayang jud akong 250 pesos ani na drink.,Price and Value,,True,0.41446298,0.21397947,0.37155756,NEGATIVE,0.04290542
Green Coffee - Marfori,3,coffee,"For a coffee lover like me, the Americano is not that strong and a little bit bland which somehow is a bit surprising for its price which is a bit higher than most coffee shops around the city.",Price and Value,,False,0.4013866,0.2222343,0.3763791,NEGATIVE,0.025007486
