place_name,rating,shop_type,sentence,TargetAspect
The Bloom Coffee & Start-Up Space,5,coffee,The food is delicious.,Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,I haven't tried their coffee yet because I chose this drink over the coffee and fresh fruit mix drinks.,Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"Our go to restaurant, priced right for the food, pastries are very good, just wish they have a hi chair for kids",Product Quality
Coffee By The Way,5,coffee,"It seamlessly combines a tranquil atmosphere inspired by nature with a commitment to serving exceptional coffee, making it a must-visit destination for coffee enthusiasts seeking a unique and refreshing experience.",Ambiance and Atmosphere
el KANTO Cafe,5,coffee,A new neighborhood cafe with a nice ambiance.,Ambiance and Atmosphere
Green Coffee - Marfori,3,coffee,"As for the coffee, it's just alright.",Product Quality
STASH Coffee Co.,4,coffee,"Getting the Pesto Chicken and cheese, Truffle fries and Fresh Lemonade was a good choice for late brunch….Modest prices, nice staff, and clean place.",Customer Service
Ristretto Cafe & Diner,1,coffee,"After almost an hour of staying there, the lights in our area were suddenly turned off by the staff.",Customer Service
Matcha Ureshi Bar,5,matcha,It was a great matcha place in dvo.,Product Quality
Green Coffee - Ecoland,2,coffee,"+Nice coffee <Starbucks, It's a bit stale compared to starbucks then it has no good aroma compared to starbucks + So the atmosphere is just so cheap and fast food is expensive, Saba is nice, she is not nice friendly for introverts +No option as to how sweet or bitter the drinks are unlike Starbucks, In our case mine is sweet and my friend's is bitter, Maybe we can ask next time +The transition from Open Wifi to Gated wifi is a bit annoying, Maybe just change the wifi password everyday because it's up to the staff to input the wifi password themselves",Price and Value
Coffee For Peace at One Oasis,5,coffee,A good coffee!!!,Product Quality
The Coffee Bar at GMall of Davao,5,coffee,"The foods are delight, had an accommodating staffs, and fast serving.",Customer Service
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"Amazing ambiance, service and food.",Ambiance and Atmosphere
Kopi lah Roti,5,coffee,"Our refrigerator was full of kopi lah roti and happy cakes products, specially their lemon walnut cake, salted caramel, red velvet, mango cake, meals like chicken cordon bleu, kare kare, chopsuey, binagoongan and more!",Product Quality
Koffiepauze,5,matcha,"After your street food tripping at roxas night market, you can stay relaxed and comfortable at koffiepauze.",Product Quality
Knto Cinco - Puan Branch,3,coffee,I only ordered lumpia but it was good and cold coffee .,Product Quality
Coffee at Yellow Hauz,5,coffee,"Affordable, good food, good ambiance.",Price and Value
PICKUP COFFEE - Davao Finance Center,5,coffee,"During my visit, the branch was managed by just one staff member, and he did a great job handling everything efficiently.",Customer Service
MYLK Cafe,5,matcha,"Good food, service and drinks.",Customer Service
Don Macchiatos Coffee,4,matcha,"This is not a cafe, it's a coffee stand where several types of coffee are served while standing.",Product Quality
The Yolk Society,5,coffee,"Service is great, atmosphere is friendly, food is amazing.",Product Quality
Cafe Basilico,5,coffee,"TBH, it's quite difficult to find good cafés within a 200-500 price range for pastas and drinks.",Product Quality
Café de Vivré,5,coffee,"Very chill space, cool baristas, good drinks and food.",Ambiance and Atmosphere
Kafih - Davao,5,coffee,"The food was insanely good, the service was top-notch, and the whole place had such a classy vibe.",Ambiance and Atmosphere
A Little Lately,5,coffee,Try the Opalite or Matcha Cloud.,Product Quality
The Limestone Brew,5,coffee,"Overall, a great experience and well done by the staff and owners.",Customer Service
Kapeweñoz V. Mapa,5,coffee,"Recommended by a good friend, she told us the humble story of this coffee shop and how the owner started his business during the pandemic as a street barista.",Product Quality
JAS Caffeinated,4,coffee,"Ambiance is good.wifi signal is fast, friendly environment  red_heart",Ambiance and Atmosphere
Green Coffee - Marfori,5,coffee,The experience was very amazing for I was able to focus on my tasks because of the ambiance of the place.,Ambiance and Atmosphere
Sprouts bloom cafe,4,coffee,Nice place to eat and rest for a while...food is good and priced reasonably.,Product Quality
Cafe Julieta,5,coffee,Food was also great.,Product Quality
BRGR Alley Café,5,coffee,The food is very worth the price.,Price and Value
Barok Cafe and Resto,1,coffee,The food is pure and the food selection is simply NOT AVAILABLE,Product Quality
Cafe Basilico,5,coffee,"It was a little expensive, but I would definitely return.",Price and Value
Dear Joe Frontera,4,coffee,The service was a bit off though.,Customer Service
Paramount Coffee Crocodile Park Davao,5,coffee,away from noisy coffee shops.,Ambiance and Atmosphere
Coffeecat,5,coffee,The [Uji Matcha] was especially delicious!,Product Quality
The Matcha Tokyo - SM Davao,5,matcha,Great atmosphere and service too :)),Ambiance and Atmosphere
Purge Coffee Roaster,5,coffee,"We only tried their drinks—the Dirty Matcha, Affogato, White Peak, and Mocha Lava.",Product Quality
Out of Boredom,5,matcha,Matcha!!!,Product Quality
The Crazy Bite Co. Sky Cafe,2,coffee,"Literally, the nuggets and sausages bought in the mall taste better than those sold here.",Product Quality
One Corner Coffee Lifestyle and Beyond,5,coffee,"I love how they are playful with their drinks and menu options, and how they are so great with making themes for their space.",Facilities and Amenities
Kafih - Davao,5,coffee,Inviting ambiance that makes you enjoy the food they served.,Ambiance and Atmosphere
Krispy Kreme Factory Store Davao,5,coffee,fast service.,Customer Service
Karlo's Gourmet & Coffee,4,coffee,Had to personally arrange the tables because they are severely understaffed.,Facilities and Amenities
Aloha Coffee Bar,5,coffee,Drinks are  hundred_points !,Product Quality
Barok Cafe and Resto,5,coffee,The food served just right on waiting time.,Product Quality
Humble Table,5,coffee,Very cozy and yummy food!,Product Quality
Kingdom Cafe & Bistro,3,coffee,Reserved parking slots facing the store was pointless as staff were nowhere in sight.,Store Operations and Accessibility
PICKUP COFFEE - Davao Finance Center,5,coffee,Good coffee,Product Quality
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,thumbs_up_light_skin_tone  thumbs_up_light_skin_tone  thumbs_up_light_skin_tone  • Atmosphere: Great music selection and nice lighting.,Ambiance and Atmosphere
Barok Cafe & Resto,1,coffee,"The restroom area lacked privacy, as it was open and had no doors, and it did not appear to be sanitized.",Store Operations and Accessibility
STASH Coffee Co.,5,coffee,It may be the only place where I've had a Spanish Latte that tastes this good.,Product Quality
BRGR Alley Café,5,coffee,I have traveled the world and lived in Texas the food capital of the USA.,Product Quality
The Coffee Bar at GMall of Davao,5,coffee,Nice ambiance and good food,Product Quality
BRGR Alley Café,5,coffee,Good food and very nice staff members,Customer Service
Koffiepauze,5,matcha,Delicious food and a good place to chill!,Ambiance and Atmosphere
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,"Very tasty coffee, but unfortunately one of the worst salads I've ever had: it was dirty and not sorted well - see picture",Product Quality
Dakong Balay,5,coffee,The food is delicious but it takes a long time to serve,Product Quality
Wood and Coffee Davao,5,coffee,The service crew are always friendly whenever I visit and the quality of the food remains up to standard even when the cafe gets crowded.,Product Quality
Coffee at Yellow Hauz,5,coffee,This is one of the old coffee shops in the city.,Product Quality
Purge Coffee Roaster,5,coffee,These places are alway better than those coffee shop chains.,Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,"Despite a 5% service charge, the staff wasn't attentive.",Customer Service
Coffee Maybe Davao,5,coffee,The food is great.,Product Quality
Starbucks - SM City Davao,3,coffee,Good for coffee with friends,Product Quality
Espresso Lab Cafe Davao,4,coffee,Did not feel it was worth the 300+ price tag.,Price and Value
Starbucks,4,coffee,Much more chill branch of Starbucks in the city.,Ambiance and Atmosphere
Lara Mia Café & Bistro,5,coffee,Great coffee prep selection!,Product Quality
KYO Coffee,1,coffee,"Average coffee, limited seating, slow service, and unreliable take out cups.",Product Quality
Haron's Cafe,5,coffee,Great interior design  OK_hand_light_skin_tone  Delicious food and affordable  OK_hand_light_skin_tone  …,Product Quality
Café Prelaya by The Joaquins’ Cheesecakes,5,coffee,Loved the quiet and stillness I experienced when I paid this cafe a visit.,Ambiance and Atmosphere
Green Coffee - Diversion,1,coffee,It's not good to people who needs wifi as they don't have wifi connection.,Facilities and Amenities
Dakong Balay,5,coffee,"We booked one of their private rooms, and the service was smooth.",Customer Service
Cafe Julieta,5,coffee,"The staff were very welcoming and as soon as we arrived, the manager welcomed us and took as to a table and rearranged it for us to fit in one table.",Customer Service
Cafe Demitasse,4,coffee,Food is good,Product Quality
The Yolk Society,5,coffee,Staff was very friendly and accommodating.,Customer Service
WORK CO COWORKING MATINA BRANCH,5,coffee,It's good to study because it's quiet.,Ambiance and Atmosphere
Habitat Coffee - Tulip Branch,5,coffee,CR was clean and no WiFi.,Facilities and Amenities
Dakong Balay,5,coffee,Nice place with great food.,Product Quality
Starbucks - SM City Davao,1,coffee,No food .,Product Quality
Fika Cafe - Lapu-Lapu,4,coffee,"Great place, good food, awesome price, but your clothes will kinda smell like oil afterwards.",Price and Value
The Crazy Bite Co. Sky Cafe,1,coffee,Any kind of service crew asking you to move tables in a middle of a meal should be re trained.,Facilities and Amenities
STASH Coffee Co.,5,coffee,Good Coffee and place to chill,Ambiance and Atmosphere
Juice Cubi Roxas Avenue,5,coffee,This place offer a wonderful taste and service especially to someone who's into Korean Pop!,Product Quality
Coffee Project Mintal,5,coffee,"I have been to all coffee shops in Davao, and this is the best ever.",Product Quality
Matcha Ureshi Bar,5,matcha,"Good matcha, service and ambience",Customer Service
Cafe Sierra,5,coffee,The owners are friendly and their place is instagrammable.,Customer Service
Starbucks - Abreeza Mall,1,coffee,"Even after explaining that my Grab was waiting outside, the staff member insisted I walk around instead.",Customer Service
Annipie @ The Farm,5,coffee,"Service time may take a while since the place can be crowded, especially during weekends.",Customer Service
Coffeecat,4,coffee,"Wifi is pretty slow Ordered hot matcha latte, it was okay.",Product Quality
Espresso Lab Cafe Davao,5,coffee,Perfect place for work and relaxation.,Facilities and Amenities
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,"very accommodating and friendly staff, and their food and coffee are so good.",Customer Service
blank space coffee dvo,4,coffee,"While service was still efficient, a warmer interaction would definitely elevate the overall customer experience.",Customer Service
The Coffee Bar at GMall of Davao,4,coffee,"Service is typical, average.",Customer Service
Koffiepauze,5,matcha,"Great time and place with friends or without...  smiling_face_with_heart-eyes Comfy,cosy classy but simply relaxing place while having fav coffee and cake...love machaiatto and cheesecake... Accomodating,smiling,friendly guys serving...and hmmm keeping coming back.",Product Quality
Evermore Cafe Davao,4,coffee,"Rates commensurate with serving size, taste, and staff service.",Customer Service
Coffeecat,5,coffee,Great customer service.,Customer Service
The Coffee Bar at GMall of Davao,5,coffee,"Also, the place is conducive for studying, they have WIFI as well and you get what you pay for the food.",Facilities and Amenities
Daleachious Cafe - Lanang Branch,4,matcha,The cashier wasn't friendly.,Customer Service
Aloha Kakou Neighborhood Cafe,5,coffee,"The decor was very simple but chic and the service was great , my food tasted amazing.",Customer Service
Habitat Coffee - Tionko Branch,4,coffee,"The place is relaxing & not crowded, since we went on a weekday.",Ambiance and Atmosphere
Solace - Coffee Club,4,coffee,What I like the most here is that they are open until 5 am so it's perfect for VAs or those who are all nighters.,Store Operations and Accessibility
Hid'n Coffee,5,coffee,":) Free parking, good drinks, cashless payment option, clean CR",Facilities and Amenities
Coffee Project Mintal,2,coffee,"We ordered Carbonara (so-so) , Beef tapa ( crying_face ), Creme Brumlee (so-so) , Cheese Pizza (lahi ang name sa menu- this was the only one na OK) and there Vietnamese Latte (mediocre).",Product Quality
Mori & Mill,3,coffee,The food is okay but it seems overpriced.,Price and Value
Headspace Coffee,5,coffee,Cozy and minimalist coffee shop located just near ateneo.,Product Quality
The Secret Garden Cafe,5,coffee,herb  seedling  Been eyeing to come here since 2017 & finally got the chance to pass by this coffee nook in Bangkal.,Product Quality
The Coffee Bar at GMall of Davao,5,coffee,The food is delicious.,Product Quality
DUNKIN’,5,coffee,Stopped here at Dunkin' on my way home from the gym for a cold drink and ordered an iced Spanish Latte.,Product Quality
Aloha Kakou Neighborhood Cafe,5,coffee,The food is honestly so good—you'll keep craving it because the flavors are unique.,Product Quality
PICKUP COFFEE - Oroderm City,5,coffee,Friendly staff Good vibe,Ambiance and Atmosphere
blank space coffee dvo,4,coffee,"The place is small, quiet, and has limited seating.",Ambiance and Atmosphere
Steep Kohi,5,coffee,"Overall, if you're coming over for a matcha or hojicha drink, this cafe won't disappoint you.",Product Quality
Coffeecat,5,coffee,Good spot for coffee and snacks.,Product Quality
Paramount Coffee Crocodile Park Davao,5,coffee,The location of the coffee shop is so nice!,Product Quality
Seattle's Best Coffee,4,coffee,"For best results I suggest asking the staff repeat your order, and to mention if you have your own container/tumbler before proceeding to the next window.",Customer Service
Daleachious Cafe - Ecoland Branch,5,coffee,"Ambiance is alright could use a bit more sound dampening on their ceiling, you can easily eavesdrop on the adjacent tables.",Facilities and Amenities
Habitat Coffee - Tulip Branch,5,coffee,"First time in Habitat and as a coffee lover, I will add Habitat on my best coffee shop list  heart_hands_light_skin_tone  (4 lang sa service, bc I waited for almost 30 mins just for the  hot_beverage   cookie ) worth it naman",Product Quality
olo. Coffee And Concepts,5,coffee,you should visit Olo because their coffee and barista never disappoints.,Product Quality
Coffeefolks Cafe,5,coffee,"While parking can be tricky, you can conveniently park at the H2O office near Boiling Shrimp and enjoy a short 2-minute walk.",Store Operations and Accessibility
STASH Coffee Co.,5,coffee,Very cozy place to dine and have great taste of coffee brew.,Product Quality
Green Coffee - Diversion,1,coffee,Atmosphere is great for working and studying.,Ambiance and Atmosphere
Seattle's Best Coffee,2,coffee,Nanggigitata yung floor sa side ng cashier lol,Customer Service
Habitat Coffee - Tulip Branch,5,coffee,"i just hope they offer bigger servings that match their prices, especially for the drinks.",Product Quality
The Limestone Brew,5,coffee,"100/10 I love the place, ambiance.",Ambiance and Atmosphere
Starbucks - Matina IT Park,3,coffee,"Both the ground and second floors were at full capacity, with tables and chairs packed so closely together that it was nearly impossible to hear yourself think.",Facilities and Amenities
Kopi lah Roti,1,coffee,dim and dingy interior coffee and buns forgetful can someone please put this place out of misery?,Product Quality
Kaffa Buna Cafe,3,coffee,"It's an okay space to hang out and it's not crowded, but the food, specifically the spaghetti, isn't tasty, they need to improve.",Facilities and Amenities
Café de Vivré,5,coffee,Coffee is great!,Product Quality
Ristretto Cafe & Diner,5,coffee,I ordered an iced Spanish Latte since another reviewer raved about it.,Product Quality
Purge Coffee Roaster,5,coffee,Coffee has the power to change everything.,Product Quality
KISOM Atelier,2,matcha,"I recently visited KISOM, a new matcha bar that promises to flip the traditional, meditative matcha experience into an ""electric"" social vibe.",Product Quality
LASA DAVAO,5,coffee,"Great food, amazing staff!!!",Product Quality
Finca,3,coffee,"I tried the carrot cake, and while the filling was nice and generous, I think it would be even better if the cake itself was thicker than the filling to balance it out.",Product Quality
We Got Cha! - Mintal,2,coffee,"The staff refuses to connect me to their wifi, claiming it was slow, why advertise Free Wifi in the first place.",Facilities and Amenities
Dear Joe Frontera,2,coffee,The interior is nice but the music is too loud!,Ambiance and Atmosphere
Green Coffee - Diversion,5,coffee,The parking space is quite big too and its a drive thru coffee shop.,Product Quality
Coffee For Peace at One Oasis,4,coffee,Good selection of drinks and great space.,Facilities and Amenities
Just Coffee & Sip,3,coffee,Reasonable rates with few food choices.,Product Quality
STASH Coffee Co.,5,coffee,Food & drink always hit the spot for my cravings!,Product Quality
Hid'n Coffee,5,coffee,Nice vibe.,Ambiance and Atmosphere
STASH Coffee Co.,5,coffee,clean restroom.,Facilities and Amenities
Fourth Street Cafe,5,coffee,"In fact, they can customize your coffee depending on your preference.",Product Quality
Karlo's Gourmet & Coffee,3,coffee,Customer Service is good.,Customer Service
Lara Mia Café & Bistro,5,coffee,"Great food... gelato... if you dine al fresco, a service cat will demand scraps and lounge under your seat.",Product Quality
DUNKIN’,5,coffee,Fast and quality service,Customer Service
Sipscape Cafe,5,coffee,"The staff are friendly, food is delicious, and their coffee is great!",Customer Service
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"If you prefer your coffee strong, you will love it here!",Product Quality
Koffiepauze,5,matcha,They have a nice and cozy ambiance where you can enjoy a cup of hot or cold beverages.,Ambiance and Atmosphere
Matcha Ureshi Bar,5,matcha,The staff was super nice and explained their different drinks thoroughly.,Product Quality
Matcha Ureshi Bar,4,matcha,Looking forward to trying their black sesame matcha,Product Quality
WORK CO COWORKING MATINA BRANCH,1,coffee,"I still hope to come back, but I hope the internet issue resolves itself.",Facilities and Amenities
T'Brews Cafe,5,coffee,"The music was light and not too loud, making it a great spot for solitude or just unwinding.",Ambiance and Atmosphere
The Yolk Society,5,coffee,I have ordered their TYS latte and the umami sourdough egg.,Product Quality
Anniepie,3,coffee,"The longer we wait, the coffee will be cold?The gentleman reheated my coffee.",Product Quality
The Secret Garden Cafe,5,coffee,"Go-to café, the matcha cheesecake drink and the s'more one is our fave  red_heart Much better to reach out to their Facebook page first before going there to reserve your spot.",Product Quality
The Coffee Bar at GMall of Davao,5,coffee,"Ambiance is good and the food is great, its my 2nd time btw",Ambiance and Atmosphere
Coffeecat,4,coffee,It was pretty chill.,Ambiance and Atmosphere
MANU Coffee,5,coffee,Loved their signature MANU and Coco oat latte.,Product Quality
JH Garden Cafe and Restaurant Matina,3,coffee,Probably will come back there for a morning coffee and chill since the place has a nice ambiance.,Product Quality
Starbucks - SM Lanang,4,coffee,"Ultimately, this Starbucks is a great spot for its ambiance and location, perfect for a mid-shopping break or a relaxed meet-up.",Ambiance and Atmosphere
Door 3 Cafe,5,coffee,"Perfect place to get a good cup of coffee, relax, and escape the heat.",Product Quality
Barok Cafe & Resto,5,coffee,"Their coffee and pastries are also noteworthy, making it a great spot for both full meals and light snacks.",Product Quality
BRGR Alley Café,5,coffee,"It's pricey but everything's fine, the place, environment, and service so this restaurant deserves a high rating.",Customer Service
Happy Valley Cafe Davao,5,coffee,"got the matcha and ube lattes ( not too sweet, tita-approved!)",Product Quality
olo. Coffee And Concepts,5,coffee,I like their coffee.,Product Quality
Café Joa,1,coffee,Staff tends to tambay near the cashier to chitchat Food served are wrong The place is not as cool as what a cafe should be,Ambiance and Atmosphere
Coffee Hub,5,coffee,Place is cold and they play low volume music.,Ambiance and Atmosphere
Daleachious Cafe - Buhangin Branch,4,coffee,Good atmosphere and 24 hours but the food is expensive,Ambiance and Atmosphere
Cafe Julieta,2,coffee,"This looked like an upscale restaurant, the food is not cheap, so why in the world would they allow that to happen?",Price and Value
Cafe Demitasse,1,coffee,Very nice service and food is okay?,Product Quality
PICKUP COFFEE - Davao Finance Center,2,coffee,"The coffee isn't the best, but it was always convenient, especially when ordering past midnight.",Product Quality
The Coffee Bar at GMall of Davao,5,coffee,Very Nice Ambiance,Ambiance and Atmosphere
Fourth Street Cafe,4,coffee,"Fourth Street Cafe  round_pushpin Narra St., Davao City  six-thirty  06:30-21:00 Coffee  hot_beverage  hot_beverage  hot_beverage  hot_beverage  hot_beverage  Price  hot_beverage  hot_beverage  hot_beverage  hot_beverage  hot_beverage  Service  hot_beverage  hot_beverage  hot_beverage  hot_beverage  hot_beverage  my only regret was I found it late  white_heart  OK_hand_light_skin_tone  hundred_points  #fourthstreetcafedvo #supportlocal",Product Quality
Starbucks - SM Lanang,1,coffee,Furthermore the two hot latte tasted like pure hot milk — on returning them it took them 3 minutes to serve two more milk tasting lattes.,Product Quality
Coffee Co - Buhangin,5,coffee,"Each table has its own power outlet, which is a huge plus.",Facilities and Amenities
PICKUP COFFEE - Caltex Ecoland,5,coffee,"Fast service, friendly staff and affordable prices.",Customer Service
Starbucks,4,coffee,Ok parking space.,Store Operations and Accessibility
Hygge Coffee,1,coffee,"I don't know either, but the cashier is always confused and the service takes a long time, the atmosphere?",Customer Service
The Matcha Tokyo - Azuela High Street,5,matcha,A cozy matcha café with a relaxing vibe and friendly staff.,Customer Service
Coffeecat,5,coffee,The food is quite pricey pero masarap.,Product Quality
Seattle's Best Coffee,5,coffee,"The coffee (cappuccino) was so-so, but it's worth it's price.",Price and Value
The Forum Cafe,5,coffee,I was well served here as I feel that the coffee quality forms the core value of the establishment.,Price and Value
PICKUP COFFEE - Davao Finance Center,5,coffee,The coffee is affordable and tastes good.,Product Quality
Kafih - Davao,5,coffee,"Food is great and worth it for its price, dtaff is very kind and accommodating, wifi is fast and there are outlets everywhere.",Customer Service
Dakong Balay,3,coffee,"The place is really good but their service is really good, the only problem is the food.",Customer Service
KAMPO,5,matcha,Very Aesthetic Coffee Spot and the Coffee is so good ~,Ambiance and Atmosphere
"Miss Bridgette,",4,matcha,Good place to have lunch/dinner with friends because it is not too crowded and the noise level is quite moderate.,Ambiance and Atmosphere
Green Coffee - Marfori,2,coffee,Only the atmosphere is good here.,Ambiance and Atmosphere
The Coffee Bar at GMall of Davao,5,coffee,Coffee Experience is great,Product Quality
BRGR Alley Café,5,coffee,Awesome place and food,Product Quality
Outlook,4,coffee,"The beverage selection is impressive, featuring unique options such as the White Rabbit Latte, which is a must-try for coffee enthusiasts.",Product Quality
Hid'n Coffee,4,coffee,"Also, they are very accommodating, though they only have a few staff available.",Customer Service
The Coffee Bar at GMall of Davao,5,coffee,aesthetic,Ambiance and Atmosphere
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,"heart_hands_light_skin_tone  So, if you're looking for a place to hang-out, chill, or work you can always check out KAOS.",Ambiance and Atmosphere
Door 3 Cafe,5,coffee,Food tasted good with affordable price range.,Price and Value
Haron's Cafe,4,coffee,Went to dine in this place after flying from Manila and arrived around 1am in this place which is surprusingly open for business and is located along one of the main roads which are typical establishment location in Davao City.,Store Operations and Accessibility
olo. Coffee And Concepts,5,coffee,The drinks tasted refreashing with a taste of brazil the bartista where friendly and gave recommendations for drinks and pastires.,Customer Service
PICKUP COFFEE - Davao Finance Center,5,coffee,"Aside from the coffee, the ambiance of the place is also nice because it's very airy and the place is also very large.",Product Quality
The Matcha Tokyo - SM Davao,5,matcha,The food was good.,Product Quality
Humble Table,5,coffee,We had a really nice latte with our rice bowls and were invited to have a Matcha Tea at their Tea space which was an educational experience in an intimate space.,Product Quality
Dunkin’,4,coffee,In my experiences with Dunkin' their drinks and service are consistently good.,Product Quality
Coffee For Peace at One Oasis,5,coffee,The atmosphere of the coffee shop is very relaxing.,Product Quality
JAS Caffeinated,4,coffee,"coffee was okay, atmosphere and service is nice.",Ambiance and Atmosphere
Hygge Coffee,1,coffee,"Great food and drinks but unfortunately the baristas / staff were so loud, banging equipment here and there, and EVEN TALKING BAD ABOUT THEIR EMPLOYER … ranting about getting transferred to another location likes it's our business too.",Customer Service
PICKUP COFFEE - Gaisano Mall of Davao,5,coffee,The best part is its affordable price and delicious taste.,Price and Value
The Matcha Tokyo - Azuela High Street,4,matcha,"If you are looking for a spacious and aesthetic spot to get your matcha fix, THE MATCHA TOKYO is definitely worth a visit.",Product Quality
Craft Coffee & Roastery,4,coffee,"first, we ordered the spanish latte and oreo frappe to go.",Product Quality
Green Bread - Matina,4,coffee,"Place is cozy, staff is kind and cooperative, food tasted amazing, and the prices are affordable",Price and Value
Seattle's Best Coffee,5,coffee,"Overall, I recommend this coffee shop for its great service and relaxing vibe.",Customer Service
Coffeecat,4,coffee,A good place for you to do some quick work on your laptop.,Facilities and Amenities
Wild Zebra Coffee,5,coffee,Wifi is good and lots of sockets for people who have to study or work.,Facilities and Amenities
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,"The first thing I noticed during my first visit was Affordable ang food pero grabe sila ug serving, super worth it.",Product Quality
The Secret Garden Cafe,4,coffee,"The Food was so creative and Good, they have unique choices of drinks.",Product Quality
Kopi lah Roti,5,coffee,It is with happiness that the Singaporean food I like is in Davao.,Product Quality
Cafe Demitasse,5,coffee,"Overall, Cafe Demitasse delivers a complete experience—wide and welcoming space, good food, dependable service, and flexible VIP room options for small to large groups.",Customer Service
Cafe Demitasse,2,coffee,But the cake I ordered was good but a little too sweet.,Product Quality
Fiend Coffee Club,4,coffee,Menu rates though are on the budget-friendly side.,Price and Value
ROOFTOP Café Bar,5,coffee,"Enjoy sitting all night in peace and quiet with a variety of drinks at good prices... Open all day, closing at 9 AM and reopening in the afternoon.",Store Operations and Accessibility
Lot 38 Kape,5,coffee,"The acoustics of the place invite you to sing — every note seems to linger gently in the air, blending with the quiet hum of conversation and the clink of cups.",Ambiance and Atmosphere
Seattle's Best Coffee,5,coffee,"Seattle's Best Coffee DGT gives that simple comfort , smooth and rich coffee, good food, relaxing ambiance, and friendly people that make every visit feel light and easy.",Ambiance and Atmosphere
Coffeecat,4,coffee,"Ambiance is modern, chairs are padded some not.",Ambiance and Atmosphere
Better Beans Co. - Coffee Roaster (New Location),5,coffee,"Great little coffee shop .. and coffee seller, they roast their own brands direct on site!!!.",Product Quality
Humble Table,5,coffee,the ambiance is so homey.,Ambiance and Atmosphere
Daleachious Cafe - Lanang Branch,3,matcha,The coffee is not good,Product Quality
BRGR Alley Café,4,coffee,"Nice ambiance, the service is also good.",Ambiance and Atmosphere
The Bloom Coffee & Start-Up Space,4,coffee,Staff are very active and nice even if there are a lot of customers.,Customer Service
Solace - Coffee Club,5,coffee,100/10  smiling_face_with_heart-eyes  the place is so aesthetic and perfect for catch up moments with friends.,Ambiance and Atmosphere
The Crazy Bite Co. Sky Cafe,5,coffee,Awesome view with tasty food and wonder staff alone with self service  winking_face,Customer Service
Whisk Davao Matcha,5,matcha,She is very accommodating and has a genuine customer connection.,Customer Service
Floury Cafe,2,matcha,Drinks are okay,Product Quality
HOUR CAFÉ,3,coffee,"The Waitress was friendly, the Aircon just right, not too cold, not too warm.",Facilities and Amenities
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,"THE STAFF ARE SO NICE, AND THEIR DRINKS ARE SO GOOD, AND ALSO THEIR MUSIC TASTE.",Customer Service
Green Coffee - Marfori,4,coffee,Ambiance is super nice aside from the study areas.,Facilities and Amenities
Matcha Ureshi Bar,5,matcha,Small space but the quality and service is excellent.,Customer Service
Matcha Ureshi Bar,5,matcha,"It was nice, very cute and matcha is soo good!",Product Quality
SIMPLY PATIO CAFE,5,coffee,"The food and coffee are both excellent, and it's a huge plus that they're open until late.",Product Quality
Humble Table,4,coffee,The place has a cute and cozy ambiance.,Ambiance and Atmosphere
Barok Cafe and Resto,2,coffee,The taste doesn't match the price—it feels like something that should cost around ₱49.,Product Quality
Starbucks,4,coffee,This place is for quick chats and for people who wanna work or study better choose other coffee shops.,Facilities and Amenities
Starbucks - SM City Davao,2,coffee,"Crowded, noisy, and expensive",Price and Value
Matcha Bar - Marfori,4,matcha,I love their matcha — definitely worth the price!,Product Quality
Dakong Balay,4,coffee,one of family favourite lunch after sunday mass  folded_hands_light_skin_tone  The staff even remembers our usual orders — it feels like a second home.,Customer Service
Habitat Coffee - Tulip Branch,4,coffee,"The food and drinks taste good, the staff are accommodating, and I love the little touch of flowers in the juices—it feels refreshing and thoughtful.",Product Quality
Cafe Julieta,3,coffee,Service is a bit slow and menu selection is limited.,Customer Service
Matcha Bar - Marfori,5,matcha,craved matcha and found this on tiktok!,Product Quality
Green Coffee - Marfori,5,coffee,It's not haunted at all but it is a treat to have coffee and relax.,Product Quality
One Corner Coffee Lifestyle and Beyond,4,coffee,It's worth the price .,Price and Value
Coffee Project Mintal,1,coffee,"Service borderline slow, not to mention multiple items on the menu not being available.",Customer Service
Cafe Gervacios - Pastry and Coffee in Davao City,1,coffee,Service and ambience was good but food was way too low.,Customer Service
Hid'n Coffee,5,coffee,"Definitely among the best coffee shops in Davao City, especially with its laid back open garden atmosphere and its excellent coffee concoctions.",Ambiance and Atmosphere
Annipie,5,coffee,Food is delicious!,Product Quality
Paramount Coffee - Twin Palms,5,coffee,"Went to get beans, unfortunately they did not a grinder available however the staff explained each variety excellently and offered personal recommendations.",Customer Service
JH Garden Cafe and Restaurant Matina,4,coffee,Nice atmosphere.,Ambiance and Atmosphere
LASA DAVAO,3,coffee,Having a running inventory would have saved both sides (me and the cashier) the trouble.,Customer Service
Paramount Coffee Crocodile Park Davao,5,coffee,"I love the part where everything is organized and well mannered, the service was beyond 5 star experience and the atmosphere was really great!",Ambiance and Atmosphere
