place_name,shop_type,clean_review
Dakong Balay,coffee,"We had a wonderful experience at Dakong Balay Toril! The place has a relaxing and homey atmosphere, perfect for family gatherings and special occasions. The food was delicious, served in generous portions, and reasonably priced. The staff were friendly, accommodating, and attentive throughout our visit. I also loved the beautiful gardens and the charming ancestral house that gives the restaurant a unique and cozy feel. Definitely one of the best places to dine in Toril. Highly recommended—we'll surely be back!  hundred_points  red_heart "
Daleachious Cafe - Ecoland Branch,coffee,I recommend you to try their Matcha with Strawberry drink. Masarap!
Koncrete,matcha,This is my go to place! I love the konkrete gray drink (it was strong and hits good) and the matcha was just okay. We will be back for slow time me time  white_heart  …
Koffiepauze,matcha,Relaxing ambiance
Coffeecat,coffee,One of my fave places to stay for long hours (especially sa sofa area). Super like their Spanish latte with oat milk  thumbs_up  sometimes it may get crowded pero laban lng.
KISOM Atelier,matcha,Love the place and the matcha
Matcha Ureshi Bar,matcha,Love their hojicha
Daiko Coffee,coffee,Went here for a few times already. Loved their matcha and ube latte and gina recommend ko yung Cheesy Fries nila always  grinning_face_with_sweat 
Coffee By The Way,coffee,Had to follow up thrice. On the 3rd follow up dun pa nila na realize na our order was not in the kitchen hence it was not prepared. Decided na itake out nalang. Juskoooo!!! Waited 1 hr for this order! Sa halagang 300+
The Matcha Tokyo - Azuela High Street,matcha,The best matcha!
"The Coffee Bar, Gaisano Mall of Toril",coffee,Favorite naku inyo Matcha  red_heart 
Kopi lah Roti,coffee,Luv the Kaya & coffee with condensed milk reminiscent of Asian coffees
Cafe Julieta,coffee,The food is good there. They have choices from steaks to asian dishes. Like seafood laksa. A bit pricey though. And they have cakes also which we really good. I recommend the sans rival cake.
Out of Boredom,matcha,Matcha!!! One of the best star-struck 
ROOFTOP Café Bar,coffee,"I won't let this night to end without letting go of the disappointment that I felt. We ordered chicken wings in two different flavors, when the order finally came, me and my girlfriend was so DISAPPOINTED with how it turned out. The chicken wings was so THIN, SMALL, and it feels like it won't even reach my stomach. I didn't expect this kind of food, I don't know if we were the only one to experience this. Hopefully, you will be able to reconsider your meals if you think that your customers won't be satisfied. Halata naman siguro sa laki pa lang ng chicken na hindi siya worth it i serve, barely may laman, halos buto nalang. I was so frustrated when I saw the serving pero just to respect kasi maraming customers that time, I didn't cause a scene nalang. Sana man lang, aware din ang in charge sa size ng chicken if justifiable ba siya i serve. We don't have photos to prove our claim kasi nga sino pa ba ang gaganahan mag take ng picture kung yun na ang nasa harapan mo, we had no choice but to eat it since sayang din naman, we were so hungry and tired to argue and complain pa. I hope you'll understand where we are coming from, we won't make this review naman if hindi kami na disappoint ng grabe. We ate sa place na yan not once but twice na, and we was also disappointed during our first dine, but nag give mi ug another try. Pero yun nga still disappointed."
RE-Ground Coffee & Cafe,coffee,"I've tried a lot of coffee around the Philippines and this just maybe the best so far. The ambiance here is very relaxing, It's a simple cafe along the highway of Libby road, Bago Gallera. Walang maraming arte, it's an open space (al fresco) with a big tree, tables and chairs and that's it, pero ang sarap tumambay habang nagkakape while enjoying the fresh air and the beautiful scenery of the farm. Very charming barista!"
Aloha Kakou Neighborhood Cafe,coffee,"Food was top notch, relatively cheap. However serving time was too long (>20mins), despite the place not being too busy the night we visited."
The Matcha Tokyo - SM Davao,matcha,Loveeeee Ittttt!!! Good Matcha & Hokkaido Soft Serve & everything is gooood  heart_hands  heart_hands  heart_hands  heart_hands  heart_hands  Guys don't forget to drop byyyy!!! …
The Coffee Bar at GMall of Davao,coffee,Excellent food and service
Annipie,coffee,Food and service are excellent.
"Miss Bridgette,",matcha,"I think I just found my daily dose of joy. It has pleasing vibes! Great choice of location, friendly staff and clean looking space. Favorful perfection that makes every moment at the table memorable. We were full when we went here but for sure we will try their specials and others on the menu soon."
Matcha Ureshi Bar,matcha,Been waiting for their physical store!  pink_heart  …
BRGR Alley Café,coffee,Onion crisps are my favorite face_holding_back_tears . Burger is fresh and delicious. 10/10
The Matcha Tokyo - SM Davao,matcha,Nice matcha
sips sala,matcha,Super cozy and intimate spot w yum and authentic tlga na matcha
Koffiepauze,matcha,Favorite coffeeshop in Davao. Accommodating staff. Food is great and their coffee is  red_heart 
JAS Caffeinated,coffee,Tried their Carrot Cake which is new in their menu (accdg to their staff) but was kinda disappointed since the cake is quite dry and hard :( drinks are okay as well.
MYLK Cafe,matcha,Cozy space and strong ac!
"The Coffee Bar, Gaisano Mall of Toril",coffee,40mins for food is not OK but we waited. more than 40mins for a coffee is not OK. They served the wrong drinks. Walay organization and understaffed.
Dunkin' Donuts,coffee,may tables and chair to take the food..
Yukiss Cafe and KTV,coffee,"Food is good, and the ambience"
The Matcha Tokyo - SM Davao,matcha,Very good service and foods
Kohi Mame,matcha,Jen is so kind and pretty  two_hearts  delicious 10/10 …
The Matcha Tokyo - SM Davao,matcha,best matcha ever
sips sala,matcha,Super cozy and intimate spot w yum and authentic tlga na matcha
Yukiss Cafe and KTV,coffee,"I am writing this review directly from the venue to express my deep disappointment with the service at Yukiss Cafe & Events Room. We arrived at exactly 10:00 PM. The doorman/guard (the guy wearing a red-striped shirt) was very polite and greeted us well. However, the energy completely shifted once we stepped inside. There were three staff members at the counter: a young man and two women, one of whom was older. They all had frowns on their faces, looking completely unhappy to see customers. They initially handed us the menu, but just as we were about to order, they abruptly informed us that they were already closing. We pointed out that according to Google and Facebook, their operating hours are until 1:00 AM. However, they told us that they actually close at 11:40 PM. I politely asked the older woman for an explanation regarding this discrepancy, asking, ""Ano masasabi mo, ma'am?"" (What can you say about this, ma'am?). She completely ignored me and gave no response. Despite saying they were closing, they still let us order. Since we traveled all the way here—and the location is quite hidden, dark to get into, and exhausting to reach—we didn't want our effort to go to waste. We originally planned to sing videoke and order ramen, but our mood was completely ruined. We ended up just ordering 4 Smirnoff Mules because of the pressure that they were closing, even though we could still hear other customers singing videoke. To make matters worse, the older woman audibly remarked, ""Nag sayo unta mo"" (You should have come earlier). It felt like a joke because they were making it seem like it was our fault, which was shocking. Less than two drinks in—not even halfway through our beverages—they immediately demanded payment because they needed to do a ""cash count."" There was absolutely no consideration for the customers. When we left, there was no ""thank you"" or even a simple ""pasensya po"" (we're sorry) from that older woman. As someone who understands the food industry, I completely get that they were exhausted and wanted to go home. I know how hard the job is, and I would have gladly understood if they just handled us properly. In fact, I kept smiling and even made light jokes to keep things light. I handled myself nicely, but the treatment I got in return was just rude. What hurts the most is that I brought my family with me. To have my family go through such a terrible and unwelcoming experience really hurts on my part. The way they practically shooed us away proved they have zero knowledge of customer service. The staff badly needs a seminar on hospitality and how to speak politely to paying customers. To be fair, the doorman in the red stripes was courteous. The young male staff member, who was clearly forced by the two women to collect our payment early, was also polite to us. Meanwhile, the two female staff members hid and ducked behind the counter out of embarrassment. The embarrassment is real. The place itself is beautiful, well-designed, and aesthetic. It is clear that the owner invested a lot of thought, money, and effort into the decorations and details. It's such a pity that a great business is being ruined by the terrible attitude of its employees. Looking at other Google reviews, it seems I am not alone—most complaints are about the staff. I truly feel bad for the owner if they are unaware of how their employees are sabotaging their investment. Pros: Beautiful aesthetic, polite doorman, and polite young male staff. Cons: Horrible customer service from the female staff, inconsistent operating hours, and very rude, dismissive behavior towards families."
Kapeweñoz V. Mapa,coffee,"Small,tiny place with Tasty Coffee at very affordable prices…"
Coffee For Peace at One Oasis,coffee,Thank you Kevin. Do comeback and continue to support our advocacy.
Dakong Balay,coffee,"Though I haven't visited the place in person, but I used to order food from them via Grab. The pork humba is so delicious and their chopsuey. Hindi basta-basta, fresh and hindi tipid  OK_hand . You can tell that they know what they're doing. Kudos!"
Seattle's Best Coffee,coffee,Ordered coffee and waited for several hours.hagu is real.
Whisk Davao Matcha,matcha,Spanish latte red_heart .Must try the Whisk matcha strawberry latte
Matcha Ureshi Bar,matcha,Love the place. Peaceful vibes. Price is good. Worth going back to.
Kofi Gram Bangkal,coffee,Luv the red velvet cake. And the caramel macchiato iced coffee  loudly_crying_face  and mabait ang cashier hehe Also i luv na 24/7 ni. Even the takeout packaging is nice. Thanks guys! Keep it up!
Starbucks,coffee,Cozy place to chitchat with friends
Into D' Woods,coffee,A quiet and peaceful cafe.
Lot 38 Kape,coffee,"Had an awesome experience in this coffee place. From the classic espresso to the intricate pour-overs, this place is a haven for coffee lovers."
The Crazy Bite Co. Sky Cafe,coffee,"Food is affordable, exactly priced. The serving of food takes too long, about 30 minutes. We had to wait on a long queue before we could get a seat. What's the rave about this cafe? Probably the roof deck where you'll see Davao's skyline."
Barok Cafe & Resto - Buhangin,coffee,"Poor service! Lie! They said within 3 days they would return the ₱280 that they wrongly punched at the counter when we dined there at their Tigatto Branch on April 12, 2026. It's April 28, and they never responded back from their FB page and even by text! I kept on doing follow ups but still nothing, last update on April 25 saying it was in the accounting department but after that, they never responded until now. This is not about the money, it's about their poor service and wrong promise!!!"
Verdeli Garden & Cafe,coffee,"Atmosphere is superb here, we dined at their outdoor nila but while enjoying the greenish backyard."
Matcha Ureshi Bar,matcha,Small cozy cafe
"Miss Bridgette,",matcha,It's a genius idea to have a conversation starter pack in every table.
Onse Kopi,matcha,Would come here more often gyud if they were near my house. Please open a branch sa North!  loudly_crying_face  …
MANU Coffee,coffee,"Interiors are nice 10/10 - a modern contemporary approach. Ordered matcha latte,spanish latte, and their pastas. Sarap nung pasta! Good for its price! Pwede sa students, madaming table and sockets."
Matcha Bar - Marfori,matcha,zozo's delicious
Matcha Ureshi Bar,matcha,Where Happiness meets matchaaa!
The Matcha Tokyo - SM Davao,matcha,The place is giving tokyo drift vibe char! Haha kidding … been to many cafes that serve matcha and this here in THE MATCHA TOKYO hits differently like real authentic matcha tlga as in hindi chararat 39 matcha simbako! worth the money! the …
The Matcha Tokyo - Azuela High Street,matcha,Favorite matcha drink and pastry
Matcha Ureshi Bar,matcha,Double Matcha kurumu the best!!  face_savoring_food  beating_heart  …
Coffee For Peace at One Oasis,coffee,"Good selection of drinks and great space. The social enterprise feel of the cafe is a bit muted in this new location. Other than that, good place to sit and take a break."
KISOM Atelier,matcha,So cozy! V unique in serving their matcha  white_heart  …
Paramount Coffee - Twin Palms,coffee,"Good food and coffee, good place. Not a lot of options sa menu. With parking area. Clean restrooms. Cash and gcash. Cards? Last time i remember they do not accept cards for payment. Nice cozy area sa 2nd floor. But hard to do work, read, chill, or study here. Kids from the school nearby make it an extension of their school canteen.  face_with_tears_of_joy  Noisy, sometimes destructive.  grinning_face_with_sweat  Best time to study, read, work, or have a chitchat w friends is during school hours and you're all good."
Mandatory Matcha Bar,matcha,The Matcha here is perfect. Smooth and umami. Will come again next time im around the area
&Matcha - Three Yards,matcha,"Guys, first time here and definitely will be a suki!  hundred_points  From the ambiance, food, and service—everything was really good. …"
Daiko Coffee,coffee,"This coffee shop has become my regular place to study, and I absolutely love it here. The atmosphere is cozy and homey, perfect for focusing and staying productive. The staff are always friendly and welcoming, and the coffee is consistently great. The Wi-Fi is strong, which is a huge plus for students like me who need to work online. It's no surprise that many students choose to study here, it's such a comfortable and inviting environment. Just a small suggestion: it would be great to have an exhaust fan in the kitchen or if meron idk what that thing that stings our eyes (maybe sa onion while you're cooking). Other than that, everything else is wonderful!"
Karlo's Gourmet & Coffee,coffee,Good swimming pool
Coffeecat,coffee,Coffeecat but no cat :<
The Matcha Tokyo - Azuela High Street,matcha,"I ordered iced matcha latte. As someone who loves ceremonial matcha, it's kind of too bitter for my liking. While for the mango soft served, i like the way how it is not too sweet. If you're into matcha that leans more on the bitter side, …"
Fourth Street Cafe,coffee,great coffee. great price. great ambiance
Matcha Bar - Marfori,matcha,THE BEST.
Twelve Coffee Davao - Ecoland,matcha,"This is the BEST cafe for me. The price, portion sizes, service and taste. Ever since I tried their milkyway, pabalik balik nako diri. Daghan nako na try lain cafe, pero kani jud nag stand out. Simple lang ilang place, but cozy. Much better compared to other known cafe na super expensive."
Fiend Coffee Club,coffee,LAMI KAAYO ILANG RICE MEALS!! We are visiting from abroad and we tried the Honey garlic beef and Buffalo chicken tenders
Hid'n Coffee,coffee,"The first time I visited, I brought my grandma, mom and aunts and they all enjoyed it. Loved the garden feels, though others might find it hot or difficult to eat cause of the low table (though they provide a high tray naman) potted_plant  Great coffee from Hid'n  hot_beverage  + great breakfast from Before Weekend.  pancakes  What more can you ask for? Will be back for sure!"
Coffee at Yellow Hauz,coffee,"It's been ages….When coffee shops were still so few, this was one easy place to be…..The interior is different now…. Menu ranges from salads to sandwiches, pasta, rice meals, desserts then down to beverages… After ordering the cashier hands over wifi access vouchers……The grilled cheese sandwich was heavy and cheesy/salty for me….I love the subtlety of the caramel latte…The kani salad was adequate for one person (had to ask for a knife)….Clean place…Good internet connection…Luckily, parking was not full…Eagerly await my next visit…."
Daleachious Cafe - Lanang Branch,matcha,"Strategic how they'd switch to operating 24 hours, right? And just one of the very few doing so…..The fourth of their many branches I have been to. With its location under mall hours on weekdays, it's quiet and calmer. You'd be pleased …"
The Limestone Brew,coffee,"We tried here when we got to Paradise Island in Samal. Hinatid kami via tuktuk, sabihan niyo lang yung guard and reception sa paradise island and they will call someone. Food here is great despite being on an island. Good food and vibes!"
The Matcha Tokyo - Azuela High Street,matcha,The atmosphere was a vibe and also the matcha
Koffiepauze,matcha,Good place to relax but the hot tea doesnt have a tea kettle to keep the hot water warm. It is only on a cup.
The Matcha Tokyo - SM Davao,matcha,The staff were very nice and the drinks are worth more than its price! will definitely go again
Starbucks,coffee,staffs are accommodating and friendly
Coffee Project Mintal,coffee,The coffee is very expensive but there is no internet. Not ideal for meetings or work.
444 Coffee,coffee,Good cinnamon rolls
KISOM Atelier,matcha,"We're from CDO and did a café hopping trip in Davao City, and Kisom Atelier was one of our stops. The place is very aesthetic, with lots of seats and tables—perfect if you want to stay longer or just enjoy the vibe. I really love their ceramic designs and the ceramics they use; it adds so much character to the café. The place is also really nice for photos and videos, especially if you love clean and artsy shots. Tried & Rated: • Cafe Latte (₱160) — 8.5/10 • Pistachio Matcha Isom (₱280) — 8/10 • Biscoff Cookie (₱120) — 8/10 • Kisom Matcha II (₱260) — 9/10  star  Note: Would be glad if the staff were more welcoming. Hehe, thank youu  smiling_face_with_smiling_eyes  Overall, a great spot for coffee, matcha, and aesthetics. Definitely worth visiting when you're café hopping in Davao  hot_beverage  sparkles "
Glasshouse Coffee,coffee,This place is one of a kind.. The first coffee shop with this ambiance in davao city.. The coffee really tastes excellent. A lot of reason to comeback..
Koffiepauze,matcha,"Good coffee, nice ambience, tables were a bit high for a coffee talk."
Annipie @ The Farm,coffee,More menu choices than your typical Annipie. It's got a forest vibe. Sudlonon pod sya. Perfect for a quick break from the city
Koffiepauze,matcha,"Cozy and modern place but same problem as in so many places here.TOO COLD , wasting lots of expensive energy. The food quality not as good as it look like. Places long time used by studying students while they not consume or drinking free water. Very big seats who take a lot of place so the number of customers is limited."
Cafe Gervacios - Pastry and Coffee in Davao City,coffee,"The place is very elegant. They offer good, tasty, excellent variety of food. Na basta lami gyud!!!"
AtCurbside,coffee,"Go-to coffee shop and go-to coffee. Dami ko nang nabudol sa Spanish Cold Brew nila haha. For someone who likes their coffee milky and not bitter, it's perfect for me. There's really something about the milk that's just so addictive. The staff are very friendly and the place can seat about 10 people in total as they also have chairs outside."
Fourth Street Cafe,coffee,"Not so pricey but super lami, loved their matcha!"
The Matcha Tokyo - Azuela High Street,matcha,"I ordered a Matcha Latte with float. Taste-wise? Yes, it's really good — smooth, and you can tell they used quality matcha powder. Price-wise? It's too much. The total was ₱400, and the cup was really small with plenty of ice. The small …"
Darkk Coffee Co.,coffee,Accommodating owner and his Mr. Dark coffee is a must try for coffee enthisiasts like me.
The Matcha Tokyo - SM Davao,matcha,Another matcha place in Davao.  face_savoring_food 
Whisk Davao Matcha,matcha,"Their drinks we're good, I really love their Salted Caramel Matcha with the asin tibuok(+presentation). The matcha flavor was not strong which I like and has a little kick to it. The Signature Cacao was amazing, you can really taste the …"
Twelve Coffee Davao - Ecoland,matcha,Grilled cheese sandwich is a must try!
Steep Kohi,coffee,"We visited Steep Kohi on a Sunday, and it can be hard to find since there's no big signage. Just look for the ""Philippine Airlines"" sign, and it's inside that area. The place is small and more suited for grab-and-go. The space feels cramped, dim, and could benefit from a bit more maintenance and organization to make it more inviting. We tried Matcha Volumes 1 and 2 which were both good but we preferred Volume 2 for our taste. It had a distinct matcha flavor that's not too overwhelming and sweet. They use oat milk. Volume 1 costs ₱210, Volume 2 is ₱280, and considering the premium price, it would have been nice if the cups were filled to the brim. They have a cutoff at 6:30 PM and don't have receipts. They accept cash and QR payments. Overall, one of the better matchas in the city if you can overlook the cramped space."
Binnamon Cafe,matcha,Matcha the best! green_heart  …
The Matcha Tokyo - SM Davao,matcha,Great drinks foods and service
Starbucks - SM City Davao,coffee,I hate the coffee not as good at Tim Hortons
The Matcha Tokyo - Azuela High Street,matcha,Perfect matcha!
BRGR Alley Café,coffee,Good food good service
Whisk Davao Matcha,matcha,Great matcha place! Their matcha is a bit on the sweeter side which suits our liking. Will try other menus on our future visit..
KISOM Atelier,matcha,"… to answer questions about sa products nila and the process, and very knowledgeable about their menu. The prices for the matcha have gone up a little since I first started coming here, which is valid naman since they use quality ingredients …"
Kopi lah Roti,coffee,i really love the kopi bun!!! the ice kopi teh is so good. i will try the kaya toast next time. i tried the kaya toast and it is good!
KISOM Atelier,matcha,Matcha is good  white_heart  …
Urban Grind,coffee,Thank you for accommodating us! Da best ang foodss!!
Starbucks - SM City Davao,coffee,Staff returned my wallet I left on the counter and the security heard me sneezing/coughing constantly and brought me a glass of water. So I rate this one highly due to the staff. Food and drinks were usual decent quality.
"KAOS CAFE - 24 Hours, Jacinto St.",coffee,"September 28, 2025 Just walked from Brew Lane to see this area. Cool concept. Got in and was about to leave as I fear no seat but there was this couch next to great wall art. I'm feeling Strawberry Rothko at that time but they said they ran out of the syrup. Settled with the ₱180 8oz Choco Picasso. Liked the barista skill on it to glorify the heated milk chocolate drink. I've had enough sikwate to say this isn't for me. Will come back when I decide the KAOS drink or food to take. Update: October 26, 2025 around 9:30pm to 5am next day Shared some ₱229 Brushstroke pork katsudon. And that's that then stayed there until 5am next day. I have to say that experiencing more from this cafe allowed me to state more. I have to say that from time to time street children have frequented the area. I have nothing against them and if the area is for them, go ahead. Please take care of them as you have took care of us customers. There is also one customer who was blatantly loud in arrival and departure then so on. It was a turnoff for guests like me that I had to switch tables subtlely. I appreciate your tolerance for most guests especially when they pay a lot but do read the room and assist those affected. If it's too much, it's alright. We will adjust. I appreciate the constant hot water refills as the night to midnight to day is cold. I need this service. May or may not come because it's a farther route in Roxas. Thanks for your service."
KINN & Friends,matcha,usual coffee and matcha spot
Mori & Mill,coffee,"TERRIBLE!! RUDE STAFF. NO PROPER COORDINATION. MID FOOD Don't get fooled by the TikTok videos. This is one of the worst restaurants I've ever been to. WAITED FOR 1 hour and 30 minutes for an ""inyoha nalang na"" table. I'm not the type to wait but since my MIL wanted to dine here, we waited. Everything was so unorganized, they didn't know where to sit us. The staff assigned by the door pointed at one of the tables and said it was ours since we were a pax of 8. We waited and waited. There was a long queue outside and they had plenty of vacant tables inside and said they were ""reserved."" Some of the tables remained vacant the entire 1 hour and 30 minutes of our wait. If they knew how to flip tables and hold reservations minutes before the assigned reservation time, WE COULD'VE EATEN ALREADY. But we remained patient. Finally the table that was ""assigned"" to us was vacant, THEN THE STAFF TOOK ALMOST 20 MINS TO CLEAN ONE TABLE. When we were finally about to sit, one of the staff (the guy assigned to desserts on duty July 1 around 7-10pm) STOPPED US AND SAID IT WAS RESERVED FOR SOMEONE ELSE, HUH?! AFTER 1HR AND 30MINS?? THE STAFF BY THE DOOR JUST SAID IT WAS OURS AND NOW IT'S RESERVED FOR SOMEONE ELSE? That dessert guy (see attached photo) IS SO RUDE, HE NEEDS TO UNDERGO TRAINING AGAIN. When I showed my frustration and said we waited too long and were told that was our table, he said ""sige, inyo nalang na, hatag nalang nako sainyo."" INGANA BA ANG TARONG NA SERBISYO? INGANA BA MUTUBAG?? WALA MAN LANG NANGAYOG PASENSYA, WALAY ""MAAM, SIR""?? NAA PAY TONO NA PABALANG??? NAA PAY TINANAWAN NA MURAG SI KINSA?? TARONG BA NA?? AND AFTER ALL THAT HASSLE THE FOOD WAS MID. NOT SPECIAL. PURO PA AESTHETIC. DAGHAN KAAYOG STAFF, SIGE'G LAKAW-LAKAW, PERO DUGAY KAAYO MAKA-SERVE, DUGAY KAAYO MAKA-ABOT INIG TAWAGON. OG ANG TUBIG DIRA NA NIABOT NGA HUMANA NAMIG KAON. NEVER AGAIN."
The Matcha Tokyo - SM Davao,matcha,The salted cream latte is delicious. Worth it.
AtCurbside,coffee,"Staff are always in a rush even during slow hours. 3 out of the 4 times I ordered in person (3 dine-in, 1 take-out) the one who took my order seemed like they were in a rush. my first 2 visits, i encountered the same barista. Talked fast with a monotonous unwelcoming tone. 3rd time was a different guy. he was the most neutral, like what you'd expect from cafes. 4th and most recent visit, this was the most annoying of them all. I was ready to say my usual order, their famous spanish cold brew 16oz. When the lady behind the counter asked for my order, i said ""isa pong spanish cold brew s—"" then she interrupted me by saying ""size po?"" even tho i was about to say it. and then when i said ""sixtee—"" she cut me AGAIN by saying ""for here or to go"". After taking my order, i was told to wait for a bit for the card payment (she took orders but queued the payments) so i decided to sit down. When she called me, i stood up next to the people in line because i was only going to pay and they were still making their order. the barista then told me ""one line lang po sir"". me, embarrassed, went to the back of the line. the barista then looked at me and said ""dito lang po sir for payment"" referring to the front of the line. even the other customers looked confused with her directions. drink is good but its not worth the terrible service"
Coffeecat,coffee,I always come here for the yogo(frozen yogurt) as it was my type of ice cream. However my friends disliked the milk tea.
Habitat Coffee - Tulip Branch,coffee,mouthwatering coffee
Starbucks - SM City Davao,coffee,Great coffee lives here!
Matcha Ureshi Bar,matcha,"The matcha here is amazing—very smooth and not bitter. The shop is bright, clean, and looks great in photos.  teacup_without_handle  sparkles  …"
Koffiepauze,matcha,Cozy place.  smiling_face_with_heart-eyes  I really love the ambiance of the place. I love their spicy buffalo wings. It's the best place for students and young professionals. I'm sure they'll love it. …
Whisk Davao Matcha,matcha,Love the ambiance & accommodating staff most esp Ms Russel & Sir Loki. All the best!  green_heart  green_heart  green_heart  …
Floury Cafe,matcha,Went here alone on a Sunday at around 4pm in the afternoon. It was fully packed but they were fortunately able to accommodate me. I ordered the matcha foam latte (?) and the pain au chocolat. I loved the matcha latte but the pain au …
Matcha Ureshi Bar,matcha,Good matcha  revolving_hearts  …
The Matcha Tokyo - SM Davao,matcha,"Hi! I'm a suki at a Japanese-owned matcha house near SM, and I order there around 5x a week  grinning_face_with_sweat  (not to mention I've also been to Japan), so I kinda know what good matcha should taste like. …"
Coffee Project Mintal,coffee,"Very nice decor, adequate seating, and vast selection of coffees, on top of that if needed an excellent bakery is next door, that's a winning combination."
The Matcha Tokyo - SM Davao,matcha,Very good
Lara Mia Café & Bistro,coffee,It's also delicious here and the place is beautiful.
Whisk It Good Matcha,matcha,My wife's favorite matcha place in DVO  smiling_face_with_smiling_eyes  10/10 customer service also! Appreciate ko rin how they run through all their …
Yukiss Cafe and KTV,coffee,The best is the macapuno ube.
Coffee By The Way,coffee,Food was average but expensive. Half of the menu was not available. The place the really nice.
Matcha Bar - Marfori,matcha,"Matcha Bar is one of those rare spots that feels like a quiet reset. Chill vibes, nothing loud or rushed... just a space where everything feels intentional. Although, I have to note that their space is on the smaller side; but judging by …"
Matcha Ureshi Bar,matcha,"We tried the matcha with gelato on top in their store. Rating it low because we expected so much for the gelato as it had a different taste before sa pop-ups. We tried several times sa pop-ups nila even in davcon, it tasted different mas better pa yung sa davcon. Hopefully we can have it better."
AMCG Farm (Damosa Branch),matcha,Ube Matcha tastes so good!!  smiling_face_with_smiling_eyes  Legit  hundred_points  Very responsive via text message. They're not on grab yet so I just had the rider pick them up …
Matcha Bar - Marfori,matcha,Nice place and nice matcha!
Matcha Ureshi Bar,matcha,"Discovered Matcha Ureshi on one of the fleas in Thee Yards! I like their double matcha kurimu, but a bit too sweet to my preference. Dapat gipa less ko ang sweetener haha but still good. …"
Oye Coffee,matcha,"… The interior is small, but has a friendly vibe. In terms of their drinks, I liked their salted coffee along with their matcha. The croffle wasn't too bad too. Parking in front is limited though, but you can still park at the side of the …"
Mandatory Matcha Bar,matcha,love their matcha! the milk did not overpowered the matcha powder ang fits for grassy matcha girlie like me. my friend requested to make it creamer thats why murag lasaw ang isa  grinning_squinting_face  their place was cozy and a litlle bit small …
Koffiepauze,matcha,Very nice ambiance and music was soothing.  red_heart  but steak wasnt avail.  pensive_face  food was great! Except for carbonara doesnt taste well for me. …
Matcha Bar - Marfori,matcha,Very Good
PICKUP COFFEE - Gaisano Mall of Davao,coffee,Ordered via their app and upsized my drinks but received this. Sayang lang add for upsize when they don't even fill out the cups properly.
BRGR Alley Café,coffee,Food is good and ambiance is super calming  leaf_fluttering_in_wind 
The Matcha Tokyo - Azuela High Street,matcha,"I really love matcha. So, this is the perfect spot to stay!  green_heart  …"
"Miss Bridgette,",matcha,"Wow! I'm am American who has been living here for over 1 year. I love the Philippines and all it offers but I miss my food. It is impossible to get a good burger in this town... But Miss Bridgette delivered. The service was amazing and that burger, worth the wait... I'm going back this morning for another one!"
The Matcha Tokyo - Azuela High Street,matcha,the matcha and coffee was good!!
The Matcha Tokyo - SM Davao,matcha,"Love the aesthetic and how clean the space is! I'm usually not a matcha person, but this is the only one I'll actually drink. Great atmosphere and even better service."
Whisk Davao Matcha,matcha,"Tried their Whisk Hibiscus Matcha and loved it! Love the ambiance, too!  teacup_without_handle "
BRGR Alley Café,coffee,"I love this place, very yummy, the workers are welcoming, this place is great."
Whisk It Good Matcha,matcha,Yummy drinks and food! Aesthetic vibes!
Humble Table,coffee,Elegant place with friendly staff and owner. Atmospheric background music and great coffee and cookie!
Aloha Kakou Neighborhood Cafe,coffee,"The time is misleading. We went there by 8:31 am on a weekday but was stopped because apparantly, their opening hours is at 11 am. So disappointing."
Cafe Demitasse,coffee,Okay
Daleachious Cafe - Lanang Branch,matcha,"I love the place, it's quiet. I ordered the Signature Salad, and serving was very generous, I only ate half of it kay makabusog kaayo.  smiling_face_with_heart-eyes  …"
Cafe Demitasse,coffee,great food. 1 serving is a lot
Cafe Demitasse,coffee,Saraaaap ng food and drinks dito. And even the ambiance feels great! Staffs are friendly and smiling and polite. Nice cafe design.
Fourth Street Cafe,coffee,"Davao go-to  hot_beverage  if you need a quick coffee run! Dito talaga. Affordable, and coffee always hits right"
Daleachious Cafe - Lanang Branch,matcha,"Absolutely abysmal portion sizing. The taste is ok, a bit more to the bland side; forgettable to be precise. The pork loin was small, the pork BBQ was small, the chicken 'ala king' was more like 'ala peasant', and the chicken wrap was too sweet it could be confused for a dessert. They really put the ""leach"" in daleachious."
Cafe Demitasse,coffee,"What a delicious surprise! Good coffee and fantastic cakes! Service was so friendly and quick! Special shout out to JB, amazing server!"
The Matcha Tokyo - SM Davao,matcha,Food is delicious (mochi) and the place is cozy
Daleachious Cafe - Lanang Branch,matcha,situated at the last stall at the sky garden. saw on SML's page that they just opened so i wanted to try it out. …
Annipie Airport View,coffee,Poor service. Bad food.
Matcha Ureshi Bar,matcha,lami so muchhh  face_savoring_food  face_savoring_food  face_savoring_food  face_savoring_food  face_savoring_food  face_savoring_food  star-struck  star-struck  star-struck  star-struck  star-struck  star-struck  heart_hands_light_skin_tone  heart_hands_light_skin_tone  heart_hands_light_skin_tone  backhand_index_pointing_right_light_skin_tone  backhand_index_pointing_left_light_skin_tone 
Kohi Mame,matcha,The coffee has greater character. Ordered the caramel latte and had almond milk option.
